player_id,season,il_date,injury_tokens,n_pre_il_days,lead_time_t60,lead_time_t75,lead_time_t85
571976,2015,2015-05-11,wrist,32,18.0,16.0,14.0
477195,2015,2015-05-14,quad,32,11.0,9.0,8.0
572816,2015,2015-05-19,foot,33,25.0,20.0,16.0
605486,2015,2015-06-28,knee,65,43.0,42.0,42.0
424325,2015,2015-07-02,concussion,35,28.0,28.0,28.0
596143,2015,2015-07-06,unspecified,19,44.0,43.0,42.0
543281,2015,2015-07-06,thumb,73,74.0,73.0,71.0
471083,2015,2015-07-12,thumb,69,49.0,4.0,4.0
543829,2015,2015-07-12,thumb,78,50.0,49.0,47.0
452678,2015,2015-07-12,hamstring,79,74.0,74.0,18.0
457759,2015,2015-07-27,unspecified,72,54.0,54.0,
543776,2015,2015-08-01,hamstring,40,65.0,65.0,64.0
502190,2015,2015-08-03,hamstring,18,56.0,56.0,56.0
547982,2015,2015-08-17,unspecified,57,61.0,61.0,58.0
592407,2015,2015-08-18,unspecified,13,58.0,53.0,53.0
489138,2015,2015-08-19,ankle,53,73.0,73.0,54.0
476451,2015,2015-08-19,"hamstring,back",13,59.0,59.0,59.0
543305,2015,2015-08-20,hamstring,61,3.0,,
571771,2015,2015-08-31,hamstring,49,86.0,17.0,16.0
519076,2015,2015-09-22,unspecified,14,80.0,80.0,80.0
500871,2016,2016-05-07,groin,27,16.0,13.0,13.0
592743,2016,2016-05-09,thumb,31,18.0,13.0,13.0
444482,2016,2016-05-09,back,33,15.0,15.0,12.0
523253,2016,2016-05-10,unspecified,29,,,
571788,2016,2016-05-19,concussion,34,23.0,22.0,19.0
430947,2016,2016-05-28,foot,44,31.0,,
543376,2016,2016-05-31,unspecified,23,,,
593934,2016,2016-06-01,hamstring,50,40.0,38.0,38.0
446386,2016,2016-06-04,hamstring,40,17.0,5.0,5.0
572008,2016,2016-06-06,"back,foot",52,5.0,3.0,
622110,2016,2016-06-20,unspecified,69,56.0,56.0,40.0
