player_id,causal_war,causal_run_value,point_estimate_per_pa,park_adj_woba,raw_woba,pa,ci_low,ci_high,season,sparse,trad_war,pa_total,war_source,position,ip_total,rank_causal,rank_trad,rank_diff
592450,12.85,128.46,0.1352,0.591,0.456,1188,,,2023-2024,False,8.52781386165401,1226.0,season_batting_stats.war,batter,,1,1,0
660271,12.18,121.76,0.1113,0.547,0.435,1367,,,2023-2024,False,7.791728342240769,1406.0,season_batting_stats.war,batter,,2,2,0
665742,11.59,115.95,0.0994,0.521,0.421,1458,,,2023-2024,False,6.707959577772352,1485.0,season_batting_stats.war,batter,,3,7,4
670541,9.0,89.95,0.0974,0.519,0.422,1154,,,2023-2024,False,4.89804725494449,1188.0,season_batting_stats.war,batter,,4,20,16
518692,8.21,82.15,0.0733,0.47,0.397,1400,,,2023-2024,False,5.693756068625102,1435.0,season_batting_stats.war,batter,,5,16,11
605141,7.92,79.2,0.0775,0.478,0.4,1277,,,2023-2024,False,6.783286934649503,1296.0,season_batting_stats.war,batter,,6,5,-1
542303,7.2,71.99,0.0696,0.464,0.395,1293,,,2023-2024,False,3.9153952276532866,1303.0,season_batting_stats.war,batter,,7,37,30
660670,6.96,69.58,0.0904,0.504,0.413,962,,,2023-2024,False,6.489979171494378,974.0,season_batting_stats.war,batter,,8,8,0
608369,6.84,68.41,0.0766,0.479,0.403,1117,,,2023-2024,False,6.2723716612384175,1151.0,season_batting_stats.war,batter,,9,10,1
547180,6.75,67.51,0.0689,0.461,0.393,1225,,,2023-2024,False,4.138062450960219,1249.0,season_batting_stats.war,batter,,10,33,23
677951,6.39,63.88,0.0565,0.437,0.381,1413,,,2023-2024,False,7.0332726498583815,1430.0,season_batting_stats.war,batter,,11,4,-7
621566,6.17,61.71,0.0549,0.437,0.382,1406,,,2023-2024,False,5.756615314116845,1430.0,season_batting_stats.war,batter,,12,13,1
665489,5.91,59.12,0.0543,0.432,0.377,1360,,,2023-2024,False,3.911112688180339,1384.0,season_batting_stats.war,batter,,13,39,26
663656,5.29,52.86,0.063,0.45,0.387,1048,,,2023-2024,False,5.217858008963689,1069.0,season_batting_stats.war,batter,,14,18,4
650490,5.28,52.76,0.0541,0.43,0.376,1220,,,2023-2024,False,3.3265419915209367,1229.0,season_batting_stats.war,batter,,15,62,47
667670,5.02,50.19,0.0554,0.434,0.379,1132,,,2023-2024,False,3.9074036159013446,1140.0,season_batting_stats.war,batter,,16,40,24
656941,4.86,48.62,0.0413,0.406,0.365,1471,,,2023-2024,False,1.916673382563937,1488.0,season_batting_stats.war,batter,,17,155,138
606466,4.68,46.85,0.0454,0.432,0.387,1289,,,2023-2024,False,5.710952807490418,1312.0,season_batting_stats.war,batter,,18,15,-3
661388,4.63,46.26,0.0447,0.412,0.368,1294,,,2023-2024,False,4.358879620345627,1312.0,season_batting_stats.war,batter,,19,27,8
683002,4.51,45.08,0.0417,0.414,0.372,1351,,,2023-2024,False,7.522795364074819,1363.0,season_batting_stats.war,batter,,20,3,-17
514888,4.05,40.49,0.0441,0.415,0.371,1147,,,2023-2024,False,3.0617810484640087,1151.0,season_batting_stats.war,batter,,21,74,53
592885,3.98,39.83,0.053,0.431,0.378,940,,,2023-2024,False,3.108683366386868,957.0,season_batting_stats.war,batter,,22,71,49
646240,3.98,39.75,0.0406,0.411,0.37,1225,,,2023-2024,False,3.7002871177223122,1254.0,season_batting_stats.war,batter,,22,47,25
673548,3.89,38.88,0.0419,0.412,0.37,1160,,,2023-2024,False,3.350308242930125,1168.0,season_batting_stats.war,batter,,24,61,37
663586,3.88,38.81,0.0408,0.406,0.365,1189,,,2023-2024,False,4.809900100979578,1201.0,season_batting_stats.war,batter,,25,21,-4
677594,3.44,34.42,0.0329,0.386,0.353,1308,,,2023-2024,False,4.914091962930756,1327.0,season_batting_stats.war,batter,,26,19,-7
607208,3.39,33.94,0.0328,0.389,0.356,1295,,,2023-2024,False,3.2096159469147434,1302.0,season_batting_stats.war,batter,,27,66,39
680776,3.35,33.52,0.0384,0.408,0.369,1092,,,2023-2024,False,6.743217412906765,1094.0,season_batting_stats.war,batter,,28,6,-22
665487,3.34,33.43,0.0381,0.397,0.359,1098,,,2023-2024,False,4.13531283476303,1103.0,season_batting_stats.war,batter,,29,34,5
575929,3.31,33.1,0.049,0.42,0.37,844,,,2023-2024,False,3.2082883336200245,853.0,season_batting_stats.war,batter,,30,67,37
624413,3.25,32.5,0.0293,0.383,0.353,1388,,,2023-2024,False,2.8530687424073737,1411.0,season_batting_stats.war,batter,,31,87,56
596019,3.07,30.71,0.027,0.387,0.36,1424,,,2023-2024,False,6.481244699016566,1438.0,season_batting_stats.war,batter,,32,9,-23
606192,3.07,30.74,0.0277,0.378,0.35,1385,,,2023-2024,False,3.2495502292216463,1401.0,season_batting_stats.war,batter,,32,63,31
624585,3.0,30.04,0.0325,0.389,0.356,1156,,,2023-2024,False,1.2709231174909152,1170.0,season_batting_stats.war,batter,,34,222,188
608070,2.9,28.99,0.0265,0.388,0.361,1366,,,2023-2024,False,5.873959212212304,1417.0,season_batting_stats.war,batter,,35,12,-23
682998,2.89,28.9,0.0262,0.384,0.358,1379,,,2023-2024,False,4.307164273536536,1407.0,season_batting_stats.war,batter,,36,28,-8
670623,2.88,28.76,0.0297,0.383,0.353,1212,,,2023-2024,False,3.427647460484114,1220.0,season_batting_stats.war,batter,,37,55,18
608324,2.79,27.93,0.0249,0.376,0.352,1404,,,2023-2024,False,4.466197825994593,1415.0,season_batting_stats.war,batter,,38,25,-13
668227,2.71,27.12,0.026,0.374,0.348,1303,,,2023-2024,False,2.579190892299623,1310.0,season_batting_stats.war,batter,,39,101,62
682985,2.68,26.83,0.033,0.392,0.359,1016,,,2023-2024,False,3.9121630679740127,1031.0,season_batting_stats.war,batter,,40,38,-2
641355,2.62,26.17,0.0295,0.391,0.362,1110,,,2023-2024,False,3.4703822366926405,1125.0,season_batting_stats.war,batter,,41,54,13
681481,2.59,25.95,0.0426,0.412,0.369,762,,,2023-2024,False,2.0744644451141356,775.0,season_batting_stats.war,batter,,42,140,98
592626,2.44,24.45,0.0357,0.406,0.37,856,,,2023-2024,False,1.7696567290298453,874.0,season_batting_stats.war,batter,,43,167,124
607043,2.43,24.29,0.0219,0.368,0.346,1388,,,2023-2024,False,3.0598432320997873,1403.0,season_batting_stats.war,batter,,44,75,31
670242,2.35,23.49,0.0558,0.439,0.383,526,,,2023-2024,False,2.1500000953674316,527.0,season_batting_stats.war,batter,,45,138,93
502110,2.29,22.86,0.0286,0.383,0.354,999,,,2023-2024,False,1.2335148320634766,1010.0,season_batting_stats.war,batter,,46,226,180
621043,2.29,22.9,0.03,0.384,0.354,954,,,2023-2024,False,2.200648884326373,971.0,season_batting_stats.war,batter,,46,131,85
650333,2.29,22.93,0.022,0.369,0.347,1303,,,2023-2024,False,2.707801322351737,1328.0,season_batting_stats.war,batter,,46,90,44
571970,2.27,22.69,0.0304,0.387,0.356,933,,,2023-2024,False,2.9164985023462435,951.0,season_batting_stats.war,batter,,49,83,34
502671,2.26,22.63,0.0213,0.365,0.344,1326,,,2023-2024,False,2.382885860916752,1341.0,season_batting_stats.war,batter,,50,118,68
668804,2.26,22.59,0.0214,0.375,0.354,1319,,,2023-2024,False,3.029789789302929,1332.0,season_batting_stats.war,batter,,50,78,28
592518,2.15,21.46,0.0214,0.364,0.343,1253,,,2023-2024,False,2.8868317562829025,1272.0,season_batting_stats.war,batter,,52,85,33
671213,2.13,21.27,0.0363,0.402,0.366,733,,,2023-2024,False,1.7154178175964767,742.0,season_batting_stats.war,batter,,53,175,122
543760,2.13,21.29,0.0173,0.358,0.341,1536,,,2023-2024,False,6.2220475457210505,1553.0,season_batting_stats.war,batter,,53,11,-42
673237,2.07,20.67,0.0256,0.379,0.354,1011,,,2023-2024,False,3.136886012109183,1018.0,season_batting_stats.war,batter,,55,69,14
545361,2.07,20.7,0.0538,0.431,0.377,481,,,2023-2024,False,2.424590220216845,488.0,season_batting_stats.war,batter,,55,114,59
656305,2.06,20.63,0.0211,0.364,0.343,1220,,,2023-2024,False,5.754757344144062,1236.0,season_batting_stats.war,batter,,57,14,-43
663993,2.0,19.97,0.0185,0.364,0.345,1347,,,2023-2024,False,2.943967724266865,1361.0,season_batting_stats.war,batter,,58,80,22
572233,1.99,19.85,0.0196,0.37,0.35,1268,,,2023-2024,False,3.2171428544180736,1288.0,season_batting_stats.war,batter,,59,65,6
457759,1.97,19.74,0.0213,0.368,0.347,1157,,,2023-2024,False,1.7853904868400148,1165.0,season_batting_stats.war,batter,,60,166,106
666969,1.95,19.54,0.0184,0.361,0.342,1330,,,2023-2024,False,2.685706804248051,1337.0,season_batting_stats.war,batter,,61,92,31
668715,1.92,19.21,0.0183,0.365,0.347,1310,,,2023-2024,False,2.1847009312285337,1321.0,season_batting_stats.war,batter,,62,133,71
670042,1.9,18.96,0.0278,0.38,0.353,854,,,2023-2024,False,2.9425203935886786,861.0,season_batting_stats.war,batter,,63,81,18
664774,1.87,18.7,0.0259,0.379,0.353,901,,,2023-2024,False,2.4813042923160222,920.0,season_batting_stats.war,batter,,64,108,44
669394,1.85,18.54,0.0206,0.365,0.344,1123,,,2023-2024,False,1.6221225674050739,1126.0,season_batting_stats.war,batter,,65,186,121
680574,1.85,18.54,0.0577,0.445,0.388,402,,,2023-2024,False,3.569999933242798,403.0,season_batting_stats.war,batter,,65,50,-15
663457,1.84,18.41,0.0257,0.374,0.349,896,,,2023-2024,False,2.5106608068102783,908.0,season_batting_stats.war,batter,,67,106,39
647304,1.84,18.44,0.0202,0.367,0.347,1143,,,2023-2024,False,1.7997182060977925,1171.0,season_batting_stats.war,batter,,67,165,98
669016,1.8,18.03,0.0227,0.372,0.349,993,,,2023-2024,False,3.1798603693961147,1003.0,season_batting_stats.war,batter,,69,68,-1
592206,1.78,17.8,0.016,0.356,0.34,1387,,,2023-2024,False,1.029614026585675,1399.0,season_batting_stats.war,batter,,70,249,179
701538,1.73,17.27,0.0352,0.397,0.361,614,,,2023-2024,False,4.460000038146973,620.0,season_batting_stats.war,batter,,71,26,-45
680977,1.63,16.26,0.0201,0.365,0.345,1013,,,2023-2024,False,2.4299804522261708,1023.0,season_batting_stats.war,batter,,72,113,41
650402,1.62,16.18,0.0145,0.35,0.336,1395,,,2023-2024,False,2.377069735255723,1406.0,season_batting_stats.war,batter,,73,119,46
641487,1.59,15.91,0.0185,0.356,0.338,1075,,,2023-2024,False,4.153939451834168,1089.0,season_batting_stats.war,batter,,74,32,-42
474832,1.59,15.93,0.0489,0.425,0.376,407,,,2023-2024,False,1.9700000286102295,412.0,season_batting_stats.war,batter,,74,149,75
668904,1.58,15.79,0.0336,0.391,0.357,587,,,2023-2024,False,1.4460170021501637,590.0,season_batting_stats.war,batter,,76,210,134
807799,1.5,14.98,0.0189,0.368,0.35,993,,,2023-2024,False,1.4736509584974022,997.0,season_batting_stats.war,batter,,77,206,129
457705,1.46,14.6,0.0186,0.361,0.343,979,,,2023-2024,False,1.1345850009667247,988.0,season_batting_stats.war,batter,,78,238,160
680757,1.45,14.5,0.014,0.353,0.339,1291,,,2023-2024,False,3.543170027126762,1306.0,season_batting_stats.war,batter,,79,51,-28
642715,1.43,14.29,0.0133,0.35,0.336,1338,,,2023-2024,False,3.066017891641535,1346.0,season_batting_stats.war,batter,,80,72,-8
677551,1.43,14.33,0.0371,0.402,0.365,483,,,2023-2024,False,5.360000133514404,491.0,season_batting_stats.war,batter,,80,17,-63
673962,1.39,13.91,0.0228,0.368,0.345,764,,,2023-2024,False,2.1503362794434424,773.0,season_batting_stats.war,batter,,82,137,55
645302,1.38,13.82,0.0425,0.409,0.366,406,,,2023-2024,False,2.1602374631336354,421.0,season_batting_stats.war,batter,,83,136,53
545341,1.28,12.78,0.0214,0.378,0.356,747,,,2023-2024,False,1.6513200469017029,750.0,season_batting_stats.war,batter,,84,183,99
