player_id,name,position,causal_war,trad_war,rank_causal,rank_trad,rank_diff,pa,pa_total,ip_total,ci_low,ci_high,war_source,sparse
592450,Aaron Judge,batter,12.61,8.52781386165401,1,1,0,1188,1226.0,,,,season_batting_stats.war,False
660271,Shohei Ohtani,batter,11.96,7.791728342240769,2,2,0,1367,1406.0,,,,season_batting_stats.war,False
665742,Juan Soto,batter,11.4,6.707959577772352,3,7,4,1458,1485.0,,,,season_batting_stats.war,False
670541,Yordan Álvarez,batter,8.69,4.89804725494449,4,20,16,1154,1188.0,,,,season_batting_stats.war,False
518692,Freddie Freeman,batter,8.02,5.693756068625102,5,16,11,1400,1435.0,,,,season_batting_stats.war,False
605141,Mookie Betts,batter,7.67,6.783286934649503,6,5,-1,1277,1296.0,,,,season_batting_stats.war,False
542303,Marcell Ozuna,batter,7.14,3.9153952276532866,7,37,30,1293,1303.0,,,,season_batting_stats.war,False
660670,Ronald Acuña,batter,6.8,6.489979171494378,8,8,0,962,974.0,,,,season_batting_stats.war,False
608369,Corey Seager,batter,6.73,6.2723716612384175,9,10,1,1117,1151.0,,,,season_batting_stats.war,False
547180,Bryce Harper,batter,6.38,4.138062450960219,10,33,23,1225,1249.0,,,,season_batting_stats.war,False
677951,Bobby Witt,batter,6.1,7.0332726498583815,11,4,-7,1413,1430.0,,,,season_batting_stats.war,False
621566,Matt Olson,batter,6.06,5.756615314116845,12,13,1,1406,1430.0,,,,season_batting_stats.war,False
665489,Vladimir Guerrero,batter,5.85,3.911112688180339,13,39,26,1360,1384.0,,,,season_batting_stats.war,False
663656,Kyle Tucker,batter,5.0,5.217858008963689,14,18,4,1048,1069.0,,,,season_batting_stats.war,False
667670,Brent Rooker,batter,4.86,3.9074036159013446,15,40,25,1132,1140.0,,,,season_batting_stats.war,False
683002,Gunnar Henderson,batter,4.77,7.522795364074819,16,3,-13,1351,1363.0,,,,season_batting_stats.war,False
650490,Yandy Díaz,batter,4.73,3.3265419915209367,17,62,45,1220,1229.0,,,,season_batting_stats.war,False
606466,Ketel Marte,batter,4.6,5.710952807490418,18,15,-3,1289,1312.0,,,,season_batting_stats.war,False
656941,Kyle Schwarber,batter,4.56,1.916673382563937,19,155,136,1471,1488.0,,,,season_batting_stats.war,False
661388,William Contreras,batter,4.41,4.358879620345627,20,27,7,1294,1312.0,,,,season_batting_stats.war,False
646240,Rafael Devers,batter,4.24,3.7002871177223122,21,47,26,1225,1254.0,,,,season_batting_stats.war,False
673548,Seiya Suzuki,batter,3.99,3.350308242930125,22,61,39,1160,1168.0,,,,season_batting_stats.war,False
514888,José Altuve,batter,3.97,3.0617810484640087,23,74,51,1147,1151.0,,,,season_batting_stats.war,False
592885,Christian Yelich,batter,3.81,3.108683366386868,24,71,47,940,957.0,,,,season_batting_stats.war,False
663586,Austin Riley,batter,3.8,4.809900100979578,25,21,-4,1189,1201.0,,,,season_batting_stats.war,False
680776,Jarren Duran,batter,3.68,6.743217412906765,26,6,-20,1092,1094.0,,,,season_batting_stats.war,False
665487,Fernando Tatís,batter,3.27,4.13531283476303,27,34,7,1098,1103.0,,,,season_batting_stats.war,False
608070,José Ramírez,batter,3.14,5.873959212212304,28,12,-16,1366,1417.0,,,,season_batting_stats.war,False
607208,Trea Turner,batter,3.11,3.2096159469147434,29,66,37,1295,1302.0,,,,season_batting_stats.war,False
677594,Julio Rodríguez,batter,3.09,4.914091962930756,30,19,-11,1308,1327.0,,,,season_batting_stats.war,False
624413,Pete Alonso,batter,3.03,2.8530687424073737,31,87,56,1388,1411.0,,,,season_batting_stats.war,False
575929,Willson Contreras,batter,3.03,3.2082883336200245,31,67,36,844,853.0,,,,season_batting_stats.war,False
641355,Cody Bellinger,batter,2.93,3.4703822366926405,33,54,21,1110,1125.0,,,,season_batting_stats.war,False
624585,Jorge Soler,batter,2.91,1.2709231174909152,34,222,188,1156,1170.0,,,,season_batting_stats.war,False
682998,Corbin Carroll,batter,2.87,4.307164273536536,35,28,-7,1379,1407.0,,,,season_batting_stats.war,False
596019,Francisco Lindor,batter,2.82,6.481244699016566,36,9,-27,1424,1438.0,,,,season_batting_stats.war,False
606192,Teoscar Hernández,batter,2.76,3.2495502292216463,37,63,26,1385,1401.0,,,,season_batting_stats.war,False
608324,Alex Bregman,batter,2.63,4.466197825994593,38,25,-13,1404,1415.0,,,,season_batting_stats.war,False
670623,Isaac Paredes,batter,2.53,3.427647460484114,39,55,16,1212,1220.0,,,,season_batting_stats.war,False
682985,Riley Greene,batter,2.51,3.9121630679740127,40,38,-2,1016,1031.0,,,,season_batting_stats.war,False
592626,Joc Pederson,batter,2.48,1.7696567290298453,41,167,126,856,874.0,,,,season_batting_stats.war,False
681481,Kerry Carpenter,batter,2.35,2.0744644451141356,42,140,98,762,775.0,,,,season_batting_stats.war,False
670242,Matt Wallner,batter,2.22,2.1500000953674316,43,138,95,526,527.0,,,,season_batting_stats.war,False
650333,Luis Arráez,batter,2.21,2.707801322351737,44,90,46,1303,1328.0,,,,season_batting_stats.war,False
571970,Max Muncy,batter,2.2,2.9164985023462435,45,83,38,933,951.0,,,,season_batting_stats.war,False
671213,Triston Casas,batter,2.18,1.7154178175964767,46,175,129,733,742.0,,,,season_batting_stats.war,False
668227,Randy Arozarena,batter,2.17,2.579190892299623,47,101,54,1303,1310.0,,,,season_batting_stats.war,False
502110,J. D. Martinez,batter,2.14,1.2335148320634766,48,226,178,999,1010.0,,,,season_batting_stats.war,False
607043,Brandon Nimmo,batter,2.11,3.0598432320997873,49,75,26,1388,1403.0,,,,season_batting_stats.war,False
668715,Spencer Steer,batter,2.08,2.1847009312285337,50,133,83,1310,1321.0,,,,season_batting_stats.war,False
545361,Mike Trout,batter,2.07,2.424590220216845,51,114,63,481,488.0,,,,season_batting_stats.war,False
673237,Yainer Diaz,batter,2.04,3.136886012109183,52,69,17,1011,1018.0,,,,season_batting_stats.war,False
621043,Carlos Correa,batter,2.03,2.200648884326373,53,131,78,954,971.0,,,,season_batting_stats.war,False
592518,Manny Machado,batter,2.02,2.8868317562829025,54,85,31,1253,1272.0,,,,season_batting_stats.war,False
647304,Josh Naylor,batter,2.01,1.7997182060977925,55,165,110,1143,1171.0,,,,season_batting_stats.war,False
668804,Bryan Reynolds,batter,2.0,3.029789789302929,56,78,22,1319,1332.0,,,,season_batting_stats.war,False
457759,Justin Turner,batter,1.97,1.7853904868400148,57,166,109,1157,1165.0,,,,season_batting_stats.war,False
656305,Matt Chapman,batter,1.93,5.754757344144062,58,14,-44,1220,1236.0,,,,season_batting_stats.war,False
680574,Matt McLain,batter,1.89,3.569999933242798,59,50,-9,402,403.0,,,,season_batting_stats.war,False
502671,Paul Goldschmidt,batter,1.86,2.382885860916752,60,118,58,1326,1341.0,,,,season_batting_stats.war,False
572233,Christian Walker,batter,1.85,3.2171428544180736,61,65,4,1268,1288.0,,,,season_batting_stats.war,False
664774,LaMonte Wade,batter,1.85,2.4813042923160222,61,108,47,901,920.0,,,,season_batting_stats.war,False
543760,Marcus Semien,batter,1.85,6.2220475457210505,61,11,-50,1536,1553.0,,,,season_batting_stats.war,False
701538,Jackson Merrill,batter,1.78,4.460000038146973,64,26,-38,614,620.0,,,,season_batting_stats.war,False
663993,Nathaniel Lowe,batter,1.72,2.943967724266865,65,80,15,1347,1361.0,,,,season_batting_stats.war,False
666134,Nolan Jones,batter,1.69,2.1815256426800635,66,134,68,711,721.0,,,,season_batting_stats.war,False
666969,Adolis García,batter,1.68,2.685706804248051,67,92,25,1330,1337.0,,,,season_batting_stats.war,False
807799,Masataka Yoshida,batter,1.67,1.4736509584974022,68,206,138,993,997.0,,,,season_batting_stats.war,False
680757,Steven Kwan,batter,1.65,3.543170027126762,69,51,-18,1291,1306.0,,,,season_batting_stats.war,False
669016,Brandon Marsh,batter,1.6,3.1798603693961147,70,68,-2,993,1003.0,,,,season_batting_stats.war,False
669394,Jake Burger,batter,1.59,1.6221225674050739,71,186,115,1123,1126.0,,,,season_batting_stats.war,False
670042,Luke Raley,batter,1.59,2.9425203935886786,71,81,10,854,861.0,,,,season_batting_stats.war,False
592206,Nick Castellanos,batter,1.52,1.029614026585675,73,249,176,1387,1399.0,,,,season_batting_stats.war,False
663457,Lars Nootbaar,batter,1.52,2.5106608068102783,73,106,33,896,908.0,,,,season_batting_stats.war,False
664023,Ian Happ,batter,1.52,3.7252077327637716,73,46,-27,1338,1348.0,,,,season_batting_stats.war,False
