year_n,year_n1,team_id,dpi_n,ebp_n,consistency_n,n_games_n,oaa_n,frp_n,ra9_n,babip_n,ra9_n1,babip_n1,dpi_n_rank,oaa_n_rank,ra9_n1_rank,fip_n
2023,2024,ATH,0.016,0.601,0.3512,161,-25,-18,5.8577,0.30765,4.7861,0.295,56.0,54.0,46.0,5.027996920670957
2023,2024,ATL,0.286,0.667,0.3807,165,-17,-11,4.475,0.30188,3.785,0.30058,37.0,50.0,2.0,4.2081414778624175
2023,2024,AZ,0.415,0.599,0.3415,176,35,26,4.7717,0.29285,4.9136,0.30945,27.0,3.0,50.0,4.371954529022745
2023,2024,BAL,0.583,0.641,0.3502,164,-10,-7,4.1977,0.2929,4.3627,0.28479,9.0,40.0,32.0,4.023622140057201
2023,2024,BOS,-0.15,0.613,0.3536,161,-33,-29,4.8839,0.30461,4.628,0.2873,59.0,57.0,41.0,4.367746636892499
2023,2024,CHC,0.588,0.658,0.346,161,20,15,4.5334,0.29105,4.2036,0.28705,8.0,12.0,22.0,4.212049337122545
2023,2024,CIN,-0.027,0.6,0.3357,161,-35,-30,5.1336,0.3005,4.3739,0.2843,57.0,58.0,33.0,4.822151370566658
2023,2024,CLE,0.482,0.644,0.3594,160,28,23,4.3442,0.28969,3.9139,0.27717,18.0,8.0,5.0,4.119661840829526
2023,2024,COL,-0.213,0.634,0.3303,160,12,10,6.0912,0.31986,5.8605,0.31743,60.0,18.0,59.0,5.110754065004457
2023,2024,CWS,0.083,0.635,0.3466,160,-18,-12,5.2868,0.29969,5.1528,0.2991,55.0,52.0,55.0,4.494880383156538
2023,2024,DET,0.546,0.652,0.3143,161,-15,-12,4.6175,0.28517,3.9931,0.27904,12.0,49.0,9.0,4.118277578620266
2023,2024,HOU,0.398,0.616,0.35,171,5,1,4.3464,0.28706,4.0789,0.2825,30.0,28.0,15.0,4.4277653443939355
2023,2024,KC,0.287,0.631,0.3703,161,21,20,5.4869,0.30267,4.0588,0.29164,36.0,10.0,13.0,4.681583620681524
2023,2024,LAA,0.13,0.643,0.3235,161,-10,-7,5.2114,0.30192,5.0126,0.28221,51.0,40.0,53.0,4.596712266877037
2023,2024,LAD,0.483,0.613,0.326,163,-3,-3,4.3496,0.27901,4.2707,0.27466,16.0,33.0,25.0,4.16517496384643
2023,2024,MIA,0.198,0.619,0.3618,162,-28,-25,4.5334,0.30249,5.266,0.30076,45.0,55.0,57.0,4.124549087576719
2023,2024,MIL,0.759,0.639,0.3683,163,41,34,4.0353,0.26804,3.9896,0.27836,1.0,1.0,7.0,4.196758800148326
2023,2024,MIN,0.096,0.639,0.3711,167,-14,-12,4.0866,0.29273,4.5927,0.29511,53.0,48.0,38.0,3.9632077877800884
2023,2024,NYM,0.119,0.676,0.3784,160,-11,-10,4.6324,0.29679,4.3492,0.28065,52.0,45.0,31.0,4.338257507519905
2023,2024,NYY,0.485,0.628,0.3668,161,-4,-4,4.3635,0.28008,4.1386,0.2804,15.0,36.0,16.0,4.32261975130784
2023,2024,PHI,0.229,0.646,0.3572,174,9,6,4.4615,0.28831,4.186,0.29544,43.0,21.0,20.0,3.8784837553977196
2023,2024,PIT,0.445,0.63,0.3697,161,3,0,4.972,0.29897,4.623,0.29841,26.0,29.0,40.0,4.359914009582191
2023,2024,SD,0.483,0.668,0.3739,160,30,22,4.0472,0.28435,4.1832,0.29,16.0,5.0,19.0,4.13803049980504
2023,2024,SEA,0.456,0.652,0.3595,160,18,12,4.0922,0.28717,3.8123,0.26149,24.0,14.0,3.0,3.796639367367716
2023,2024,SF,0.246,0.65,0.3399,161,12,10,4.5105,0.30309,4.388,0.30483,42.0,18.0,34.0,3.972143741426116
2023,2024,STL,0.093,0.625,0.3584,161,-13,-11,5.2236,0.31796,4.4813,0.29395,54.0,46.0,35.0,4.331794421577451
2023,2024,TB,0.468,0.625,0.3412,163,-6,-7,4.1505,0.28568,4.1418,0.27902,20.0,37.0,17.0,3.8165036725397785
2023,2024,TEX,0.45,0.67,0.3465,177,33,27,4.4864,0.28783,4.6523,0.28607,25.0,4.0,42.0,4.361168430407936
2023,2024,TOR,0.385,0.64,0.3683,163,7,8,4.16,0.29404,4.685,0.28104,31.0,26.0,43.0,4.132786027625451
2023,2024,WSH,0.299,0.653,0.3451,161,-9,-8,5.3244,0.30439,4.795,0.30883,34.0,39.0,47.0,5.19694188187143
2024,2025,ATH,0.138,0.637,0.3454,168,-46,-40,4.7861,0.295,5.1145,0.29018,49.0,60.0,54.0,4.200450210567963
2024,2025,ATL,0.343,0.674,0.3514,170,-3,-2,3.785,0.30058,4.5939,0.29473,33.0,33.0,39.0,3.4669511561260533
2024,2025,AZ,0.412,0.625,0.3498,169,40,32,4.9136,0.30945,4.8927,0.2941,28.0,2.0,49.0,4.141207136221379
2024,2025,BAL,0.482,0.646,0.3581,169,-6,-4,4.3627,0.28479,4.9502,0.30255,18.0,37.0,51.0,3.870268087757121
2024,2025,BOS,0.28,0.671,0.3529,169,-20,-11,4.628,0.2873,4.2007,0.29632,38.0,53.0,21.0,4.0912032077154254
2024,2025,CHC,0.41,0.682,0.3574,170,18,17,4.2036,0.28705,4.0704,0.27315,29.0,14.0,14.0,4.102299110499476
2024,2025,CIN,0.18,0.633,0.3786,168,-10,-7,4.3739,0.2843,4.2711,0.27805,47.0,40.0,26.0,4.244410458826252
2024,2025,CLE,0.546,0.6,0.3799,177,16,10,3.9139,0.27717,4.0506,0.28669,12.0,16.0,11.0,3.9684857238993683
2024,2025,COL,0.201,0.667,0.3329,169,8,3,5.8605,0.31743,6.5294,0.32425,44.0,23.0,60.0,4.982882734377735
2024,2025,CWS,-0.053,0.631,0.3313,168,-30,-23,5.1528,0.2991,4.7161,0.2888,58.0,56.0,44.0,4.442249396078104
2024,2025,DET,0.582,0.672,0.3476,176,21,19,3.9931,0.27904,4.3298,0.28362,10.0,10.0,30.0,3.6803900077410896
2024,2025,HOU,0.279,0.658,0.3447,166,-1,0,4.0789,0.2825,4.1505,0.28045,39.0,31.0,18.0,4.07561471498885
