season,n_teams,mean_games_even,mean_games_odd,split_half_r,split_half_p,spearman_rho_half,spearman_brown_r,meets_0707_bar
2015,30,82.0,82.3,0.4279,0.018336076705550382,0.4122,0.5993,False
2016,30,82.0,82.1,0.4601,0.010509928572301428,0.4091,0.6303,False
2017,30,82.2,82.3,0.4084,0.02505778673797949,0.3219,0.5799,False
2018,30,82.1,82.2,0.392,0.032141698783336184,0.321,0.5633,False
2019,30,85.5,85.4,0.4472,0.013213171535406664,0.4799,0.6181,False
2020,30,31.4,32.0,0.5773,0.0008375331242255219,0.5164,0.732,True
2021,30,87.0,87.1,0.3291,0.07573608739335476,0.2067,0.4953,False
2022,30,89.9,90.2,0.4517,0.012229850461825311,0.4972,0.6223,False
2023,30,81.5,81.8,0.4654,0.009556918371773908,0.4483,0.6352,False
2024,30,85.3,85.3,0.3501,0.05787257401499177,0.3442,0.5186,False
2025,30,85.1,85.1,0.3892,0.03353703972777898,0.293,0.5603,False
