season,team_id,dpi_mean,dpi_std,n_games,dpi_half_mean_even,dpi_half_mean_odd,n_games_even,n_games_odd,reliability_R,regressed_dpi,dpi_mean_ci_lo,dpi_mean_ci_hi
2015,ATH,0.3401,2.0042,162,0.16915294117647056,0.5288051948051947,85.0,77.0,0.584,0.3477,0.0361,0.6458
2015,ATL,0.4143,2.1529,162,0.75425,0.08267073170731708,80.0,82.0,0.584,0.391,0.1061,0.7551
2015,AZ,0.6732,2.6179,162,0.7969625,0.5523780487804878,80.0,82.0,0.584,0.5422,0.2784,1.058
2015,BAL,0.4003,2.1407,162,0.5036265060240964,0.2917341772151899,83.0,79.0,0.584,0.3828,0.0853,0.7189
2015,BOS,0.0832,2.2761,162,0.3334516129032258,-0.25415942028985505,93.0,69.0,0.584,0.1976,-0.2585,0.4211
2015,CHC,0.4921,1.9303,171,0.6349230769230769,0.3723870967741935,78.0,93.0,0.584,0.4365,0.1955,0.773
2015,CIN,0.6271,2.4827,162,0.6977261904761904,0.5510512820512821,84.0,78.0,0.584,0.5153,0.2518,1.017
2015,CLE,0.3995,2.1254,161,0.26546250000000005,0.5319259259259259,80.0,81.0,0.584,0.3824,0.0867,0.7314
2015,COL,-0.0117,2.3617,162,-0.17544736842105263,0.13301162790697674,76.0,86.0,0.584,0.1422,-0.3709,0.3366
2015,CWS,0.2725,2.3659,162,0.36375294117647056,0.17166233766233766,85.0,77.0,0.584,0.3082,-0.0742,0.6721
2015,DET,0.106,2.1876,161,0.15715,0.0554814814814815,80.0,81.0,0.584,0.211,-0.2206,0.4393
2015,HOU,0.2166,1.9749,168,0.10034567901234569,0.32483908045977017,81.0,87.0,0.584,0.2756,-0.0591,0.5291
2015,KC,0.592,2.3168,177,0.5702826086956522,0.6155764705882353,92.0,85.0,0.584,0.4948,0.2711,0.9344
2015,LAA,0.1777,1.9628,162,0.39052000000000003,-0.0057816091954022795,75.0,87.0,0.584,0.2528,-0.1228,0.4864
2015,LAD,0.3787,2.0563,167,0.34869047619047616,0.4091566265060241,84.0,83.0,0.584,0.3702,0.0715,0.6884
2015,MIA,0.3901,1.8291,162,0.5529875,0.23121951219512196,80.0,82.0,0.584,0.3769,0.1154,0.6718
2015,MIL,0.4606,2.5586,162,0.42556962025316464,0.4939638554216867,79.0,83.0,0.584,0.4181,0.0599,0.8889
2015,MIN,0.4725,1.9121,162,0.4990361445783133,0.4445696202531645,83.0,79.0,0.584,0.425,0.1646,0.7753
2015,NYM,0.3542,1.7044,175,0.34498863636363636,0.3636091954022988,88.0,87.0,0.584,0.3559,0.1044,0.6091
2015,NYY,0.0241,2.0302,163,-0.19465,0.235,80.0,83.0,0.584,0.1631,-0.2828,0.3322
2015,PHI,0.1081,2.2242,162,0.16435897435897437,0.055869047619047596,78.0,84.0,0.584,0.2122,-0.2333,0.4527
2015,PIT,0.2798,1.9364,163,0.3941686746987952,0.16105,83.0,80.0,0.584,0.3124,-0.024,0.5617
2015,SD,0.2753,2.3345,162,0.1756867469879518,0.37991139240506333,83.0,79.0,0.584,0.3098,-0.06,0.6248
2015,SEA,0.1837,2.4643,162,0.14926582278481018,0.21653012048192774,79.0,83.0,0.584,0.2564,-0.1969,0.5654
2015,SF,0.9417,2.5972,162,0.96425,0.9196829268292683,80.0,82.0,0.584,0.699,0.5477,1.337
2015,STL,0.5193,2.0736,166,0.6009545454545454,0.42717948717948717,88.0,78.0,0.584,0.4523,0.201,0.8447
2015,TB,0.5008,1.8358,162,0.44890243902439025,0.5540875,82.0,80.0,0.584,0.4416,0.2038,0.7751
2015,TEX,0.3708,2.1701,167,0.3123625,0.4244597701149425,80.0,87.0,0.584,0.3656,0.0496,0.6984
2015,TOR,0.3549,2.1916,173,0.2283780487804878,0.46893406593406595,82.0,91.0,0.584,0.3563,0.0105,0.6876
2015,WSH,0.3521,2.1604,162,0.4025822784810127,0.3041325301204819,79.0,83.0,0.584,0.3547,0.0235,0.6987
2016,ATH,0.0497,2.085,162,0.22701315789473683,-0.10708139534883719,76.0,86.0,0.584,0.1204,-0.2557,0.3907
2016,ATL,0.4931,2.4845,161,0.04120930232558142,1.0111733333333333,86.0,75.0,0.584,0.3793,0.1498,0.8993
2016,AZ,0.0339,2.4534,162,-0.20558227848101265,0.2618192771084337,79.0,83.0,0.584,0.1112,-0.3544,0.4107
2016,BAL,0.1167,2.0007,163,-0.012374999999999988,0.24119277108433734,80.0,83.0,0.584,0.1596,-0.1839,0.4255
2016,BOS,0.2429,2.0331,165,0.1676888888888889,0.3332,90.0,75.0,0.584,0.2332,-0.0569,0.5469
2016,CHC,1.0054,1.9809,178,0.8551341463414633,1.13371875,82.0,96.0,0.584,0.6785,0.7172,1.2941
2016,CIN,0.2573,2.2355,162,0.09247826086956519,0.47391428571428573,92.0,70.0,0.584,0.2416,-0.0889,0.6013
2016,CLE,0.3342,2.0524,174,0.46058823529411763,0.21346067415730335,85.0,89.0,0.584,0.2865,0.0323,0.6492
2016,COL,0.0738,2.1258,162,-0.10207894736842105,0.22929069767441856,76.0,86.0,0.584,0.1345,-0.2656,0.397
2016,CWS,0.2203,2.1731,162,0.31421333333333334,0.13934482758620692,75.0,87.0,0.584,0.22,-0.0914,0.545
2016,DET,-0.1888,1.8126,161,-0.2091298701298701,-0.1702023809523809,77.0,84.0,0.584,-0.0189,-0.458,0.096
2016,HOU,0.032,1.8892,162,-0.020543209876543223,0.08454320987654321,81.0,81.0,0.584,0.1101,-0.2601,0.3234
2016,KC,0.1834,1.8616,162,0.04814285714285714,0.32897435897435895,84.0,78.0,0.584,0.1985,-0.1183,0.4641
2016,LAA,0.4636,2.2614,163,0.5854814814814815,0.34319512195121954,81.0,82.0,0.584,0.3621,0.1103,0.8154
2016,LAD,0.178,1.769,173,0.24633333333333335,0.10896511627906977,87.0,86.0,0.584,0.1954,-0.0918,0.4305
2016,MIA,0.2567,1.8953,161,0.2992093023255814,0.2080266666666667,86.0,75.0,0.584,0.2413,-0.0312,0.5364
2016,MIL,0.154,2.0956,162,0.2180357142857143,0.08496153846153846,84.0,78.0,0.584,0.1813,-0.159,0.466
2016,MIN,-0.1395,2.1054,162,0.15972619047619047,-0.46165384615384614,84.0,78.0,0.584,0.0099,-0.4605,0.2022
2016,NYM,0.0914,2.0311,163,0.04778750000000001,0.13336144578313253,80.0,83.0,0.584,0.1447,-0.2054,0.3871
2016,NYY,-0.0861,1.9163,162,-0.01015853658536586,-0.16399999999999998,82.0,80.0,0.584,0.0411,-0.3917,0.2154
2016,PHI,0.2496,1.9511,162,0.2762337662337662,0.22542352941176472,77.0,85.0,0.584,0.2371,-0.0485,0.5493
2016,PIT,0.2577,2.136,162,0.1406547619047619,0.3837820512820513,84.0,78.0,0.584,0.2419,-0.0685,0.5847
2016,SD,0.0082,1.823,162,0.04271428571428572,-0.028897435897435892,84.0,78.0,0.584,0.0962,-0.2768,0.2907
2016,SEA,0.3688,2.0943,162,0.40785185185185185,0.32966666666666666,81.0,81.0,0.584,0.3067,0.0447,0.6861
2016,SF,0.7326,2.2401,167,0.39317857142857143,1.0761927710843373,84.0,83.0,0.584,0.5192,0.3929,1.0646
2016,STL,0.0623,2.0349,162,-0.18975999999999998,0.2795862068965517,75.0,87.0,0.584,0.1278,-0.2463,0.3577
2016,TB,-0.1226,1.7947,162,-0.0234102564102564,-0.21476190476190476,78.0,84.0,0.584,0.0198,-0.3938,0.1546
2016,TEX,0.2634,1.9888,165,0.2795930232558139,0.2456708860759494,86.0,79.0,0.584,0.2452,-0.0502,0.5465
2016,TOR,0.4633,1.9618,171,0.5563132530120481,0.37551136363636367,83.0,88.0,0.584,0.3619,0.1659,0.7649
2016,WSH,0.5345,2.0956,167,0.39616049382716045,0.6647790697674418,81.0,86.0,0.584,0.4035,0.2165,0.8581
2017,ATH,0.5426,2.2081,162,0.5241410256410257,0.5597380952380953,78.0,84.0,0.584,0.4747,0.1996,0.8861
2017,ATL,0.6094,2.6312,162,0.6409756097560976,0.577025,82.0,80.0,0.584,0.5137,0.2337,1.0553
2017,AZ,0.4579,2.0809,166,0.4633809523809524,0.45220731707317074,84.0,82.0,0.584,0.4252,0.1379,0.7679
2017,BAL,0.1035,1.8016,162,0.1645487804878049,0.0409125,82.0,80.0,0.584,0.2183,-0.1693,0.3838
2017,BOS,0.1867,2.2188,166,0.042355263157894764,0.3086666666666667,76.0,90.0,0.584,0.2669,-0.1455,0.5329
2017,CHC,0.6654,1.879,172,0.6256263736263736,0.7101851851851851,91.0,81.0,0.584,0.5465,0.3835,0.9474
2017,CIN,0.0689,2.0759,162,0.06617721518987342,0.07157831325301206,79.0,83.0,0.584,0.1981,-0.241,0.406
2017,CLE,0.3783,1.9297,167,0.1985897435897436,0.5358426966292135,78.0,89.0,0.584,0.3788,0.0923,0.6739
2017,COL,0.0559,2.3697,163,0.16470114942528738,-0.06857894736842107,87.0,76.0,0.584,0.1905,-0.2913,0.4154
2017,CWS,0.4733,2.1677,162,0.48860714285714285,0.45671794871794874,84.0,78.0,0.584,0.4342,0.1699,0.8147
2017,DET,0.2834,2.7943,162,0.0019069767441860276,0.6018289473684211,86.0,76.0,0.584,0.3233,-0.1283,0.7053
2017,HOU,0.3834,2.1059,179,0.45625301204819274,0.32045833333333335,83.0,96.0,0.584,0.3818,0.0938,0.6818
2017,KC,0.1398,2.0388,162,0.0027160493827160462,0.2768024691358025,81.0,81.0,0.584,0.2395,-0.1663,0.4503
2017,LAA,1.0314,2.4043,162,1.227875,0.8397682926829269,80.0,82.0,0.584,0.7602,0.6489,1.4046
2017,LAD,0.532,1.9392,176,0.6657176470588235,0.4070879120879121,85.0,91.0,0.584,0.4685,0.2283,0.8088
2017,MIA,0.5734,2.0691,162,0.3733947368421053,0.7502093023255814,76.0,86.0,0.584,0.4927,0.2472,0.8886
2017,MIL,0.3803,1.9403,162,0.4228764044943821,0.32834246575342463,89.0,73.0,0.584,0.3799,0.0923,0.6892
2017,MIN,0.7183,2.4709,163,0.7376913580246913,0.6990487804878048,81.0,82.0,0.584,0.5773,0.3404,1.1075
2017,NYM,0.0493,1.9306,162,0.06730337078651685,0.027273972602739744,89.0,73.0,0.584,0.1866,-0.2436,0.3426
2017,NYY,0.3404,1.7886,175,0.6824578313253011,0.031804347826086966,83.0,92.0,0.584,0.3566,0.0749,0.5855
2017,PHI,0.2957,2.1075,162,0.5150389610389611,0.09709411764705884,77.0,85.0,0.584,0.3306,-0.0367,0.6204
2017,PIT,0.3682,1.9805,162,0.7733924050632911,-0.017542168674698797,79.0,83.0,0.584,0.3728,0.0614,0.6764
2017,SD,0.1372,2.2416,162,0.2089176470588235,0.058025974025974,85.0,77.0,0.584,0.238,-0.1874,0.4931
2017,SEA,0.3833,2.1119,162,0.19951851851851854,0.5671358024691359,81.0,81.0,0.584,0.3817,0.0564,0.7014
2017,SF,0.4484,2.1116,162,0.4251976744186047,0.4747105263157895,86.0,76.0,0.584,0.4197,0.1322,0.7481
2017,STL,0.2979,1.9532,162,0.2544625,0.3402317073170732,80.0,82.0,0.584,0.3318,-0.0044,0.592
2017,TB,0.5371,2.1918,162,0.6221463414634146,0.450025,82.0,80.0,0.584,0.4715,0.2016,0.8747
2017,TEX,0.4929,2.3498,162,0.3189404761904762,0.6802179487179487,84.0,78.0,0.584,0.4457,0.1222,0.8599
2017,TOR,-0.0763,2.0316,162,0.04594936708860762,-0.19272289156626507,79.0,83.0,0.584,0.1133,-0.398,0.2583
2017,WSH,0.525,2.1039,167,0.42037974683544305,0.6189204545454545,79.0,88.0,0.584,0.4644,0.1914,0.8306
2018,ATH,0.8121,1.7566,163,0.6229873417721519,0.9898809523809524,79.0,84.0,0.584,0.5754,0.5517,1.0742
2018,ATL,0.7599,1.703,166,0.6097666666666667,0.9376973684210527,90.0,76.0,0.584,0.545,0.4845,1.0169
2018,AZ,0.6409,1.8604,162,0.7295569620253165,0.5565180722891566,79.0,83.0,0.584,0.4755,0.3653,0.9336
2018,BAL,-0.1341,1.9786,162,-0.040129870129870106,-0.21915294117647058,77.0,85.0,0.584,0.0229,-0.4432,0.1549
2018,BOS,0.2098,1.8771,176,0.026325842696629208,0.39758620689655166,89.0,87.0,0.584,0.2237,-0.0705,0.4777
2018,CHC,0.7789,1.8862,164,0.814367816091954,0.7388571428571429,87.0,77.0,0.584,0.5561,0.4773,1.0575
2018,CIN,0.1156,1.9845,162,0.5035555555555556,-0.2724320987654321,81.0,81.0,0.584,0.1687,-0.1969,0.4113
2018,CLE,0.0856,1.6521,165,0.09147674418604652,0.07915189873417722,86.0,79.0,0.584,0.1512,-0.1517,0.3407
2018,COL,0.0711,1.9491,167,0.07906329113924052,0.06398863636363637,79.0,88.0,0.584,0.1427,-0.2128,0.358
2018,CWS,0.2884,1.9985,162,0.16030666666666663,0.39879310344827584,75.0,87.0,0.584,0.2696,-0.0102,0.5839
2018,DET,0.0719,1.743,162,0.21250617283950618,-0.06864197530864195,81.0,81.0,0.584,0.1432,-0.1906,0.3389
2018,HOU,0.2833,1.6672,170,0.4687613636363636,0.08417073170731706,88.0,82.0,0.584,0.2666,0.0447,0.5352
2018,KC,0.1591,1.9596,162,0.4829285714285715,-0.18971794871794873,84.0,78.0,0.584,0.1941,-0.1566,0.455
2018,LAA,0.299,1.649,162,0.23080232558139535,0.37607894736842107,86.0,76.0,0.584,0.2758,0.0488,0.5599
2018,LAD,0.2527,1.69,179,0.12811363636363635,0.37326373626373627,88.0,91.0,0.584,0.2488,0.0074,0.5106
2018,MIA,0.2899,1.9876,161,-0.04095402298850574,0.6789324324324324,87.0,74.0,0.584,0.2705,-0.0125,0.609
2018,MIL,0.6196,1.784,173,0.5518214285714286,0.6836516853932584,84.0,89.0,0.584,0.4631,0.3596,0.8947
2018,MIN,0.1496,1.9448,162,0.01629761904761905,0.29307692307692307,84.0,78.0,0.584,0.1885,-0.1587,0.4478
2018,NYM,-0.0315,1.9249,162,0.03591549295774648,-0.08416483516483517,71.0,91.0,0.584,0.0828,-0.3245,0.2582
2018,NYY,0.1713,1.8327,167,0.35368674698795183,-0.008928571428571432,83.0,84.0,0.584,0.2012,-0.1132,0.4374
2018,PHI,-0.1217,1.9128,162,0.015157303370786555,-0.28854794520547944,89.0,73.0,0.584,0.0301,-0.4184,0.1826
2018,PIT,0.2552,1.8735,161,0.29503896103896105,0.21861904761904763,77.0,84.0,0.584,0.2502,-0.0429,0.545
2018,SD,0.2754,1.7815,162,0.47525641025641024,0.08986904761904761,78.0,84.0,0.584,0.262,0.0201,0.5464
2018,SEA,0.2355,1.8522,162,0.27765,0.19446341463414635,80.0,82.0,0.584,0.2387,-0.0558,0.5279
2018,SF,0.2963,1.9705,162,-0.08807594936708858,0.6622168674698795,79.0,83.0,0.584,0.2742,-0.0049,0.6024
2018,STL,0.2041,1.8036,162,0.131474358974359,0.2715714285714285,78.0,84.0,0.584,0.2204,-0.0857,0.4598
2018,TB,0.411,1.6659,162,0.4341978021978022,0.3812676056338028,91.0,71.0,0.584,0.3412,0.1555,0.6681
2018,TEX,0.0156,1.7973,162,-0.28191891891891896,0.2657840909090909,74.0,88.0,0.584,0.1103,-0.256,0.2825
2018,TOR,-0.3432,1.6464,162,-0.36015,-0.32658536585365855,80.0,82.0,0.584,-0.0992,-0.5896,-0.0924
2018,WSH,0.176,1.6506,162,0.23807692307692307,0.11826190476190475,78.0,84.0,0.584,0.2039,-0.0792,0.4402
2019,ATH,0.28,1.824,166,0.21331707317073167,0.3450119047619048,82.0,84.0,0.584,0.1761,-0.0137,0.5625
2019,ATL,0.2672,1.713,174,0.08970454545454545,0.4489186046511628,88.0,86.0,0.584,0.1687,0.0148,0.524
2019,AZ,0.5151,1.6669,169,0.40986516853932586,0.6321749999999999,89.0,80.0,0.584,0.3134,0.2729,0.7729
2019,BAL,-0.1338,1.9178,169,0.08467857142857144,-0.3496941176470588,84.0,85.0,0.584,-0.0655,-0.4493,0.1509
2019,BOS,-0.471,1.8718,168,-0.5867590361445784,-0.3579764705882353,83.0,85.0,0.584,-0.2625,-0.755,-0.2013
2019,CHC,0.2097,1.8136,170,0.19875,0.22041860465116278,84.0,86.0,0.584,0.1351,-0.0426,0.4868
2019,CIN,0.1082,1.5922,170,-0.00523333333333332,0.2357375,90.0,80.0,0.584,0.0758,-0.1229,0.3489
2019,CLE,0.0252,1.7424,170,0.11299999999999999,-0.05854022988505747,83.0,87.0,0.584,0.0273,-0.2225,0.2916
2019,COL,0.034,2.1218,168,0.3135301204819277,-0.2389411764705882,83.0,85.0,0.584,0.0325,-0.295,0.3599
2019,CWS,-0.093,1.9748,168,-0.2590235294117647,0.07709638554216869,85.0,83.0,0.584,-0.0417,-0.399,0.1984
2019,DET,-0.4462,1.8805,167,-0.5025714285714286,-0.3890722891566265,84.0,83.0,0.584,-0.248,-0.7262,-0.1611
2019,HOU,0.0593,1.6989,187,-0.03358333333333333,0.15726373626373627,96.0,91.0,0.584,0.0472,-0.1793,0.3015
2019,KC,-0.068,1.7811,167,-0.05148192771084339,-0.08422619047619045,83.0,84.0,0.584,-0.0271,-0.336,0.1945
2019,LAA,0.1714,1.7014,170,0.18497647058823527,0.15782352941176472,85.0,85.0,0.584,0.1127,-0.0884,0.4321
2019,LAD,0.3734,1.7944,174,0.3459047619047619,0.3990888888888889,84.0,90.0,0.584,0.2307,0.1077,0.6426
2019,MIA,0.1121,1.7783,167,-0.11819512195121949,0.33424705882352945,82.0,85.0,0.584,0.0781,-0.1659,0.3715
2019,MIL,0.1029,2.118,171,0.15669767441860466,0.048388235294117656,86.0,85.0,0.584,0.0727,-0.2188,0.4191
2019,MIN,-0.2159,1.8101,170,-0.6643373493975904,0.21195402298850577,83.0,87.0,0.584,-0.1135,-0.4901,0.0463
