window,source,n_teams,pearson_r,pearson_p,pearson_ci,spearman_rho,spearman_p,spearman_ci
2023->2024,recorded_csv,30,0.5898,0.0006040102491213233,"[0.3933, 0.7416]",0.5818,0.0007448211953395082,"[0.3068, 0.7519]"
2024->2025,recorded_csv,30,0.3699,0.04421241517848707,"[0.0764, 0.64]",0.3651,0.047290803950272554,"[0.0015, 0.7006]"
2015->2016,recomputed_db,30,0.2986,0.10900333863055145,"[-0.1703, 0.5943]",0.1408,0.4579319987889402,"[-0.2571, 0.4974]"
2016->2017,recomputed_db,30,0.2411,0.19931884344471285,"[-0.1811, 0.5337]",0.196,0.2992666522826899,"[-0.2036, 0.5575]"
2017->2018,recomputed_db,30,0.5658,0.0011194064788721324,"[0.3319, 0.7838]",0.6801,3.56006467837064e-05,"[0.3939, 0.8632]"
2018->2019,recomputed_db,30,0.4966,0.005250993465843146,"[0.2918, 0.6668]",0.5315,0.0025083847184484385,"[0.2467, 0.7209]"
2019->2020,recomputed_db,30,0.2252,0.23147912377690005,"[-0.2133, 0.5527]",0.1106,0.5607976285032431,"[-0.2999, 0.4752]"
2020->2021,recomputed_db,30,0.5939,0.000539926640305228,"[0.2091, 0.7924]",0.5128,0.0037610875651815034,"[0.1817, 0.7492]"
2021->2022,recomputed_db,30,0.5049,0.004437318693057685,"[0.1515, 0.7359]",0.4848,0.006629743930305689,"[0.1101, 0.766]"
2022->2023,recomputed_db,30,0.435,0.016283692403650914,"[0.1356, 0.6718]",0.4363,0.015947283291090346,"[0.0951, 0.6805]"
2023->2024,recomputed_db,30,0.5895,0.0006081347314380534,"[0.3881, 0.7385]",0.5782,0.0008182126424912135,"[0.285, 0.7506]"
2024->2025,recomputed_db,30,0.3695,0.04446202682379801,"[0.0779, 0.6371]",0.3651,0.047290803950272554,"[-0.0175, 0.6945]"
