season,team_id,game_pk,n_bip,dpi_speed
2015,WSH,413981,23,2.618
2015,NYM,413981,31,-1.419
2015,TOR,413980,30,0.575
2015,SEA,413979,26,1.672
2015,HOU,413979,33,-0.663
2015,STL,413978,27,10.457
2015,PHI,413978,30,10.233
2015,DET,413977,28,0.0
2015,KC,413977,22,14.259
2015,CIN,413976,25,5.161
2015,ATL,413976,25,4.868
2015,MIN,413975,31,-0.225
2015,CWS,413975,31,-3.068
2015,ATH,413974,33,0.251
2015,LAA,413974,29,0.61
2015,WSH,413973,22,0.646
2015,ATL,413973,31,-3.05
2015,BOS,413972,20,0.907
2015,TOR,413972,25,1.746
2015,NYY,413971,33,2.752
2015,TB,413971,28,1.628
2015,LAD,413970,25,-0.803
2015,SF,413970,26,0.813
2015,TEX,413969,32,-0.434
2015,SEA,413969,25,2.296
2015,CHC,413968,29,-0.756
2015,PIT,413968,17,-0.234
2015,PHI,413967,27,2.177
2015,NYM,413966,31,-1.529
2015,MIA,413966,26,1.278
2015,CIN,413965,29,1.467
2015,MIL,413965,26,1.784
2015,CLE,413964,25,1.381
2015,KC,413964,29,3.695
2015,HOU,413963,27,1.291
2015,SD,413963,27,-1.66
2015,DET,413962,25,-1.293
2015,COL,413961,30,-1.104
2015,AZ,413961,25,3.199
2015,CWS,413960,28,0.108
2015,BAL,413960,21,0.963
2015,LAA,413959,28,-0.277
2015,ATH,413959,22,1.715
2015,WSH,413958,41,-2.507
2015,BOS,413957,31,-4.486
2015,TOR,413957,33,-1.658
2015,NYY,413956,24,-0.092
2015,LAD,413955,28,-2.205
2015,SF,413955,22,-0.721
2015,SEA,413954,23,1.189
2015,PIT,413953,27,-1.569
2015,PHI,413952,34,-3.418
2015,STL,413952,29,2.063
2015,MIA,413951,31,1.974
2015,MIL,413950,24,0.776
2015,CIN,413950,22,2.15
2015,CLE,413949,38,-1.535
2015,KC,413949,29,0.435
2015,SD,413948,31,-3.854
2015,DET,413947,27,1.214
2015,COL,413946,36,-0.208
2015,AZ,413946,28,-4.959
2015,LAA,413944,30,0.321
2015,ATH,413944,21,-0.924
2015,WSH,413943,29,-0.525
2015,ATL,413943,27,2.37
2015,BOS,413942,18,-1.195
2015,NYY,413941,23,0.203
2015,TB,413941,24,-0.323
2015,SF,413940,32,0.053
2015,LAD,413940,26,-0.024
2015,TEX,413939,24,1.663
2015,PIT,413938,27,-0.566
2015,CHC,413938,24,2.167
2015,STL,413937,34,4.168
2015,PHI,413937,18,0.151
2015,MIA,413936,27,2.082
2015,NYM,413936,29,1.138
2015,CIN,413935,29,-1.884
2015,MIL,413935,27,-0.092
2015,CLE,413934,30,-0.89
2015,KC,413934,23,3.097
2015,HOU,413933,30,-1.993
2015,SD,413933,24,-1.804
2015,DET,413932,28,2.626
2015,COL,413931,30,0.416
2015,MIA,413929,21,1.753
2015,WSH,413929,24,-1.538
2015,TB,413928,24,0.471
2015,TOR,413928,29,-3.213
2015,LAA,413927,34,-1.839
2015,TEX,413927,37,-1.074
2015,MIL,413926,33,0.073
2015,STL,413926,27,0.477
2015,AZ,413924,33,-0.924
2015,PIT,413924,19,1.517
2015,NYM,413923,25,0.0
2015,SEA,413922,32,0.919
2015,LAD,413921,20,-0.244
2015,KC,413920,24,-1.013
2015,HOU,413919,28,2.917
2015,ATH,413919,29,-2.582
2015,DET,413918,32,-0.896
2015,CIN,413917,23,0.521
2015,CHC,413917,24,1.356
2015,BOS,413916,40,-5.081
2015,BAL,413916,34,1.175
2015,PHI,413915,32,0.706
2015,ATL,413915,27,4.471
2015,MIA,413914,26,1.741
2015,WSH,413914,24,-1.753
2015,TB,413913,22,1.267
2015,TEX,413912,24,1.841
2015,MIL,413911,28,-0.342
2015,SF,413910,39,9.611
