metric,window,r,n,p,fisher_ci,cluster_boot_ci
v2_strip_park_frozen,2023,0.4112,30,0.026706283973533907,"[0.0526, 0.6758]",
v2_strip_park_frozen,2024,0.5362,30,0.0027171618601341935,"[0.2112, 0.7544]",
v2_strip_park_frozen,2025,0.4346,30,0.01849095607854868,"[0.0809, 0.691]",
v2_strip_park_frozen,pooled_2023_2025,0.4805,90,1.8787236945619827e-06,"[0.3026, 0.6261]","[0.3004, 0.607]"
v2_final_strip_park_speed,2023,0.3959,30,0.0335081196391837,"[0.0344, 0.6658]",
v2_final_strip_park_speed,2024,0.5309,30,0.003043933813837854,"[0.2041, 0.7512]",
v2_final_strip_park_speed,2025,0.4213,30,0.02285268454116845,"[0.0648, 0.6824]",
v2_final_strip_park_speed,pooled_2023_2025,0.4698,90,3.397553264213577e-06,"[0.29, 0.6177]","[0.2847, 0.5998]"
v2_final_sensitivity_2023_25_fit,2023,0.3457,30,0.06624551922615715,"[-0.0238, 0.6321]",
v2_final_sensitivity_2023_25_fit,2024,0.4266,30,0.021013721344962568,"[0.0712, 0.6859]",
v2_final_sensitivity_2023_25_fit,2025,0.4441,30,0.015803737961219887,"[0.0927, 0.6971]",
v2_final_sensitivity_2023_25_fit,pooled_2023_2025,0.4299,90,2.6142196992445144e-05,"[0.2435, 0.5857]","[0.278, 0.542]"
