metric,window,r,n,p,fisher_ci,cluster_boot_ci
v1_frozen,2023,0.4206,30,0.02309893281982298,"[0.0639, 0.682]",
v1_frozen,2024,0.685,30,4.138852145179009e-05,"[0.4253, 0.8405]",
v1_frozen,2025,0.5387,30,0.002569960159285643,"[0.2146, 0.756]",
v1_frozen,pooled_2023_2025,0.4064,90,7.749711232639955e-05,"[0.2165, 0.5667]","[0.2205, 0.5414]"
v1_frozen_season_centered,2023,0.4206,30,0.02309893281982298,"[0.0639, 0.682]",
v1_frozen_season_centered,2024,0.685,30,4.138852145179009e-05,"[0.4253, 0.8405]",
v1_frozen_season_centered,2025,0.5387,30,0.002569960159285643,"[0.2146, 0.756]",
v1_frozen_season_centered,pooled_2023_2025,0.5725,90,4.570381189491654e-09,"[0.4136, 0.6976]","[0.4108, 0.6959]"
v2_stage1_pitching_strip,2023,0.3647,30,0.051771997647596525,"[-0.0021, 0.645]",
v2_stage1_pitching_strip,2024,0.5226,30,0.0036340893409408264,"[0.1931, 0.7462]",
v2_stage1_pitching_strip,2025,0.4039,30,0.029772137076037212,"[0.0439, 0.6711]",
v2_stage1_pitching_strip,pooled_2023_2025,0.4531,90,8.242344271500785e-06,"[0.2704, 0.6043]","[0.2866, 0.5925]"
