fit,park,blup_dpi_per_game
P1,ATH,0.11948
P1,ATL,0.15446
P1,AZ,-0.04403
P1,BAL,-0.00591
P1,BOS,-0.46647
P1,CHC,0.15629
P1,CIN,-0.21311
P1,CLE,-0.02949
P1,COL,-0.68739
P1,CWS,0.00929
P1,DET,0.09411
P1,HOU,-0.16209
P1,KC,0.06317
P1,LAA,0.21378
P1,LAD,0.12454
P1,MIA,0.07892
P1,MIL,-0.04527
P1,MIN,-0.06362
P1,NYM,0.09697
P1,NYY,0.03229
P1,PHI,-0.12554
P1,PIT,0.11695
P1,SD,0.13127
P1,SEA,0.18792
P1,SF,0.10993
P1,STL,0.27417
P1,TB,-0.10538
P1,TEX,-0.11808
P1,TOR,0.01993
P1,WSH,0.08291
P2,ATH,0.10369
P2,ATL,0.14729
P2,AZ,-0.0241
P2,BAL,-0.01289
P2,BOS,-0.47287
P2,CHC,0.17073
P2,CIN,-0.20778
P2,CLE,-0.01476
P2,COL,-0.68865
P2,CWS,0.00644
P2,DET,0.10076
P2,HOU,-0.16112
P2,KC,0.07688
P2,LAA,0.19387
P2,LAD,0.12315
P2,MIA,0.1041
P2,MIL,-0.04134
P2,MIN,-0.07874
P2,NYM,0.07217
P2,NYY,0.01131
P2,PHI,-0.08567
P2,PIT,0.13625
P2,SD,0.13331
P2,SEA,0.15692
P2,SF,0.08859
P2,STL,0.26662
P2,TB,-0.07645
P2,TEX,-0.11282
P2,TOR,4e-05
P2,WSH,0.08506
P2_2023_25,ATH,-0.15699
P2_2023_25,ATL,-0.02774
P2_2023_25,AZ,-0.06518
P2_2023_25,BAL,0.08531
P2_2023_25,BOS,-0.43244
P2_2023_25,CHC,0.17284
P2_2023_25,CIN,-0.12461
P2_2023_25,CLE,0.07795
P2_2023_25,COL,-0.56424
P2_2023_25,CWS,0.06719
P2_2023_25,DET,0.13229
P2_2023_25,HOU,-0.17904
P2_2023_25,KC,0.1493
P2_2023_25,LAA,-0.12326
P2_2023_25,LAD,0.2021
P2_2023_25,MIA,0.03597
P2_2023_25,MIL,0.03244
P2_2023_25,MIN,-0.29257
P2_2023_25,NYM,0.15428
P2_2023_25,NYY,0.20675
P2_2023_25,PHI,-0.13736
P2_2023_25,PIT,0.13861
P2_2023_25,SD,0.10901
P2_2023_25,SEA,0.25249
P2_2023_25,SF,-0.01488
P2_2023_25,STL,0.12299
P2_2023_25,TB,-0.06579
P2_2023_25,TEX,0.17454
P2_2023_25,TOR,0.03455
P2_2023_25,WSH,0.03549
