season,n_games,r2_game_level,intercept,coef_k_pct,coef_ubb_pct,coef_net_gb,coef_popup_rate,coef_sp_share
2015,4928,0.03189,-0.00161,-1.85515,-2.05013,-1.18174,-3.02243,1.98441
2016,4924,0.03553,-0.68114,0.60087,-3.91749,-0.19789,-0.8741,1.87486
2017,4934,0.03744,-1.24783,-0.35878,2.62513,-0.21541,3.99917,2.23462
2018,4928,0.03481,-1.25897,0.5291,1.98996,1.27812,1.2933,1.70291
2019,5128,0.02434,-0.60289,0.0926,-2.34539,0.88437,-0.28871,1.25887
2020,1902,0.02637,-1.14093,-0.1039,3.48991,2.11252,2.95091,1.21564
2021,5224,0.02953,-0.12848,-0.23962,-0.69715,-0.46482,-3.52844,1.50201
2022,5404,0.0354,-0.74756,0.89927,-3.65482,0.55655,6.78002,1.48782
2023,4900,0.02985,-0.72031,0.94356,-0.80708,0.54556,-1.6059,1.57312
2024,5120,0.02499,-0.232,2.0837,-3.29733,-1.05927,-4.8388,1.33655
2025,5106,0.03326,-0.81034,1.90564,-2.42397,0.23971,3.64204,1.71135
