season,n_teams,var_team_season_dpi_v1,var_team_season_pitch_hat,pitch_hat_var_share,r_pitch_hat_vs_dpi_v1
2015,30,0.041956,0.003291,0.0785,-0.2805
2016,30,0.067118,0.009104,0.1356,0.2668
2017,30,0.055604,0.005661,0.1018,0.2752
2018,30,0.072191,0.009349,0.1295,0.049
2019,30,0.065458,0.006143,0.0939,0.2888
2020,30,0.118894,0.005682,0.0478,0.0262
2021,30,0.056126,0.003136,0.0559,0.1762
2022,30,0.050095,0.007448,0.1487,0.5221
2023,30,0.053762,0.007239,0.1346,0.5236
2024,30,0.038611,0.006328,0.1639,0.3005
2025,30,0.051851,0.005418,0.1045,0.2201
