season,team_id,n_games,dpi_mean_v1,pitch_hat_mean,dpi_v2_stage1_mean
2015,ATH,162,0.3401,0.28097,0.05912
2015,ATL,162,0.41431,0.42528,-0.01097
2015,AZ,162,0.67316,0.28018,0.39298
2015,BAL,162,0.4003,0.30789,0.0924
2015,BOS,162,0.08317,0.4087,-0.32553
2015,CHC,171,0.49214,0.31622,0.17592
2015,CIN,162,0.6271,0.3154,0.3117
2015,CLE,161,0.39952,0.44939,-0.04987
2015,COL,162,-0.0117,0.29045,-0.30214
2015,CWS,162,0.27245,0.47179,-0.19934
2015,DET,161,0.106,0.38507,-0.27907
2015,HOU,168,0.2166,0.41113,-0.19452
2015,KC,177,0.59203,0.27748,0.31455
2015,LAA,162,0.17769,0.46371,-0.28602
2015,LAD,167,0.37874,0.36085,0.01789
2015,MIA,162,0.39012,0.3063,0.08381
2015,MIL,162,0.46061,0.32404,0.13657
2015,MIN,162,0.47248,0.39327,0.07921
2015,NYM,175,0.35425,0.37621,-0.02196
2015,NYY,163,0.02413,0.35113,-0.32701
2015,PHI,162,0.1081,0.41283,-0.30473
2015,PIT,163,0.27975,0.36163,-0.08188
2015,SD,162,0.27528,0.33973,-0.06445
2015,SEA,162,0.18373,0.34166,-0.15793
2015,SF,162,0.94169,0.37789,0.5638
2015,STL,166,0.5193,0.35331,0.16599
2015,TB,162,0.50085,0.27038,0.23046
2015,TEX,167,0.37076,0.37656,-0.0058
2015,TOR,173,0.35491,0.42565,-0.07074
2015,WSH,162,0.35214,0.32372,0.02842
2016,ATH,162,0.04965,0.19798,-0.14833
2016,ATL,161,0.49306,0.10328,0.38978
2016,AZ,162,0.03389,0.11279,-0.0789
2016,BAL,163,0.11674,0.11289,0.00385
2016,BOS,165,0.24292,0.31809,-0.07517
2016,CHC,178,1.00538,0.33429,0.67109
2016,CIN,162,0.2573,0.09177,0.16553
2016,CLE,174,0.33418,0.29139,0.04279
2016,COL,162,0.07383,0.16113,-0.08729
2016,CWS,162,0.2203,0.31269,-0.09239
2016,DET,161,-0.18882,0.23514,-0.42396
2016,HOU,162,0.032,0.28403,-0.25203
2016,KC,162,0.18336,0.13526,0.04809
2016,LAA,163,0.4636,0.19007,0.27353
2016,LAD,173,0.17805,0.16747,0.01057
2016,MIA,161,0.25673,0.15763,0.09911
2016,MIL,162,0.15396,0.20804,-0.05408
2016,MIN,162,-0.13946,0.22715,-0.3666
2016,NYM,163,0.09136,0.27339,-0.18203
2016,NYY,162,-0.08613,0.31021,-0.39634
2016,PHI,162,0.24957,0.2991,-0.04952
2016,PIT,162,0.25772,0.02529,0.23243
2016,SD,162,0.00823,0.03483,-0.02659
2016,SEA,162,0.36876,0.26812,0.10064
2016,SF,167,0.73264,0.3232,0.40944
2016,STL,162,0.0623,0.31575,-0.25345
2016,TB,162,-0.12263,0.25731,-0.37994
2016,TEX,165,0.26335,0.21725,0.0461
2016,TOR,171,0.46327,0.36721,0.09606
2016,WSH,167,0.53449,0.35032,0.18417
2017,ATH,162,0.5426,0.46502,0.07758
2017,ATL,162,0.6094,0.46996,0.13944
2017,AZ,166,0.45786,0.37797,0.07989
2017,BAL,162,0.10349,0.35513,-0.25164
2017,BOS,166,0.18674,0.45347,-0.26673
2017,CHC,172,0.66545,0.37874,0.2867
2017,CIN,162,0.06894,0.26309,-0.19415
2017,CLE,167,0.37832,0.3833,-0.00498
2017,COL,163,0.05593,0.25932,-0.20339
2017,CWS,162,0.47325,0.38479,0.08846
2017,DET,162,0.28335,0.46208,-0.17872
2017,HOU,179,0.38342,0.28759,0.09584
2017,KC,162,0.13976,0.41512,-0.27536
2017,LAA,162,1.03143,0.36197,0.66946
2017,LAD,176,0.53199,0.33033,0.20166
2017,MIA,162,0.57343,0.21348,0.35995
2017,MIL,162,0.38028,0.33793,0.04235
2017,MIN,163,0.71825,0.37199,0.34626
2017,NYM,162,0.04927,0.30673,-0.25746
2017,NYY,175,0.3404,0.47646,-0.13606
2017,PHI,162,0.29575,0.4378,-0.14206
2017,PIT,162,0.36816,0.41033,-0.04217
2017,SD,162,0.1372,0.31299,-0.17579
2017,SEA,162,0.38333,0.34225,0.04107
2017,SF,162,0.44843,0.48269,-0.03427
2017,STL,162,0.29788,0.40877,-0.1109
2017,TB,162,0.53715,0.4337,0.10345
2017,TEX,162,0.49289,0.49307,-0.00018
2017,TOR,162,-0.07633,0.28731,-0.36364
2017,WSH,167,0.525,0.45225,0.07275
2018,ATH,163,0.81206,0.24401,0.56805
2018,ATL,166,0.7599,0.28879,0.47111
2018,AZ,162,0.6409,0.34693,0.29397
2018,BAL,162,-0.13406,0.25604,-0.3901
2018,BOS,176,0.20985,0.13625,0.07359
2018,CHC,164,0.77891,0.29677,0.48214
2018,CIN,162,0.11556,0.20913,-0.09356
2018,CLE,165,0.08558,0.32104,-0.23547
2018,COL,167,0.07112,0.37252,-0.3014
2018,CWS,162,0.28838,0.31667,-0.02828
2018,DET,162,0.07193,0.16995,-0.09802
2018,HOU,170,0.28325,0.36087,-0.07762
2018,KC,162,0.15906,0.15128,0.00778
2018,LAA,162,0.29896,0.21507,0.08389
2018,LAD,179,0.25274,0.16534,0.08741
2018,MIA,161,0.28993,0.19471,0.09522
2018,MIL,173,0.61964,0.29194,0.3277
2018,MIN,162,0.14956,0.23372,-0.08416
2018,NYM,162,-0.03154,0.2844,-0.31594
2018,NYY,167,0.17129,0.28873,-0.11744
2018,PHI,162,-0.1217,0.31419,-0.43588
2018,PIT,161,0.25517,0.33918,-0.08402
2018,SD,162,0.27543,0.18169,0.09373
2018,SEA,162,0.23554,0.28325,-0.04771
2018,SF,162,0.29633,0.29093,0.0054
2018,STL,162,0.20412,0.24531,-0.04119
2018,TB,162,0.411,-0.12811,0.53911
2018,TEX,162,0.0156,0.15279,-0.13719
2018,TOR,162,-0.34316,0.21613,-0.55929
2018,WSH,162,0.17595,0.29546,-0.11951
2019,ATH,166,0.27996,0.12357,0.15639
2019,ATL,174,0.26725,0.04578,0.22147
2019,AZ,169,0.5151,0.07278,0.44232
2019,BAL,169,-0.13379,-0.12298,-0.01081
2019,BOS,168,-0.47101,-0.0191,-0.45191
2019,CHC,170,0.20971,0.15473,0.05499
2019,CIN,170,0.10816,0.11928,-0.01111
2019,CLE,170,0.02521,0.11885,-0.09363
2019,COL,168,0.03401,0.10352,-0.06952
2019,CWS,168,-0.09296,0.05445,-0.14742
2019,DET,167,-0.44616,0.01103,-0.45719
2019,HOU,187,0.05929,0.0564,0.00289
2019,KC,167,-0.06795,0.03735,-0.10531
2019,LAA,170,0.1714,-0.14221,0.31361
2019,LAD,174,0.37341,0.07473,0.29869
2019,MIA,167,0.11209,-0.00529,0.11738
2019,MIL,171,0.10286,-0.0366,0.13946
2019,MIN,170,-0.21588,0.0869,-0.30279
2019,NYM,168,-0.18602,0.15727,-0.34329
2019,NYY,177,-0.26276,-0.01509,-0.24767
2019,PHI,168,0.07237,0.01896,0.05342
2019,PIT,170,-0.27063,0.02991,-0.30054
2019,SD,168,0.01527,0.00856,0.00672
2019,SEA,166,-0.00764,0.03255,-0.04019
2019,SF,170,0.40161,-0.02843,0.43004
2019,STL,177,0.46114,0.12755,0.33359
2019,TB,175,-0.03423,-0.09685,0.06262
2019,TEX,170,-0.26577,-0.03257,-0.2332
2019,TOR,169,-0.16695,-0.05802,-0.10892
2019,WSH,185,0.32094,0.085,0.23594
2020,ATH,67,0.17634,0.23012,-0.05378
2020,ATL,72,0.1604,0.16482,-0.00442
2020,AZ,60,0.23737,0.12986,0.10751
2020,BAL,60,0.31278,0.17368,0.13911
2020,BOS,60,-0.4049,0.12611,-0.53101
2020,CHC,62,0.70166,0.34975,0.35191
2020,CIN,62,-0.29785,0.29319,-0.59105
2020,CLE,62,-0.00808,0.182,-0.19008
2020,COL,60,0.24887,0.36869,-0.11982
2020,CWS,63,0.70122,0.27156,0.42966
2020,DET,58,0.53771,0.11836,0.41935
2020,HOU,73,0.46319,0.24101,0.22219
2020,KC,60,0.23842,0.25145,-0.01303
2020,LAA,60,0.11153,0.13832,-0.02679
2020,LAD,78,0.73367,0.1051,0.62857
2020,MIA,65,0.00335,0.25345,-0.2501
2020,MIL,62,-0.10724,0.30975,-0.41699
2020,MIN,62,0.43111,0.21709,0.21402
2020,NYM,60,-0.21203,0.1753,-0.38734
2020,NYY,67,0.10493,0.23842,-0.13349
2020,PHI,60,-0.39492,0.32786,-0.72278
2020,PIT,60,0.35747,0.23412,0.12335
2020,SD,66,0.48545,0.12745,0.358
2020,SEA,60,0.43233,0.25711,0.17522
2020,SF,60,0.24928,0.13167,0.11762
2020,STL,61,0.99943,0.32673,0.6727
2020,TB,80,0.24446,0.12095,0.12351
2020,TEX,60,0.03203,0.19966,-0.16763
2020,TOR,62,-0.08294,0.22759,-0.31053
2020,WSH,60,-0.20348,0.21781,-0.42129
2021,ATH,171,0.52396,0.44839,0.07557
2021,ATL,187,0.69003,0.3804,0.30964
2021,AZ,172,0.11872,0.29054,-0.17183
2021,BAL,172,0.25017,0.27636,-0.02619
2021,BOS,184,-0.13059,0.29156,-0.42215
2021,CHC,172,0.31471,0.33177,-0.01706
2021,CIN,171,-0.01828,0.41593,-0.43421
2021,CLE,172,0.43001,0.38075,0.04926
2021,COL,172,0.17252,0.44182,-0.2693
2021,CWS,176,0.30618,0.40508,-0.0989
2021,DET,173,0.43266,0.32457,0.10809
2021,HOU,185,0.57001,0.40819,0.16182
2021,KC,171,0.42012,0.34245,0.07767
2021,LAA,172,0.05419,0.27317,-0.21898
2021,LAD,184,0.50186,0.35399,0.14787
2021,MIA,170,0.24696,0.31455,-0.06759
2021,MIL,177,0.4023,0.42692,-0.02462
2021,MIN,173,0.42033,0.37691,0.04342
2021,NYM,170,0.41866,0.42184,-0.00318
2021,NYY,173,0.22016,0.35552,-0.13536
