board,side_rank,player_id,name,team,position,field_pos,causal_war,trad_war,rank_causal,rank_trad,rank_diff,pa_total,ip_total,tag
buy_low,1,663993,Nathaniel Lowe,CIN,batter,,0.82,0.6399999856948853,71,195,124,276,,OTHER
buy_low,2,656811,Ryan O'Hearn,PIT,batter,,0.64,0.4099999964237213,86,207,121,398,,OTHER
buy_low,3,543807,George Springer,TOR,batter,,0.45,0.25999999046325684,98,219,121,360,,OTHER
buy_low,4,668715,Spencer Steer,CIN,batter,,0.41,0.23999999463558197,102,222,120,384,,OTHER
buy_low,5,666126,Carlos Cortes,ATH,batter,,0.04,-0.15000000596046448,143,251,108,260,7.0,OTHER
buy_low,6,660821,Jesús Sánchez,TOR,batter,,-0.02,-0.3499999940395355,155,257,102,240,,OTHER
buy_low,7,660670,Ronald Acuña,ATL,batter,,0.67,0.7400000095367432,84,184,100,266,,OTHER
buy_low,8,682626,Francisco Álvarez,NYM,batter,,0.74,0.8899999856948853,77,173,96,278,,OTHER
buy_low,9,687462,Spencer Horwitz,PIT,batter,,0.96,1.090000033378601,62,155,93,303,,OTHER
buy_low,10,665833,Oneil Cruz,PIT,batter,,1.13,1.2000000476837158,52,144,92,283,,OTHER
buy_low,11,679529,Spencer Torkelson,DET,batter,,0.06,0.09000000357627869,140,232,92,437,,OTHER
buy_low,12,666160,Mickey Moniak,COL,batter,,0.74,0.9700000286102295,77,168,91,283,,OTHER
buy_low,13,609280,Miguel Andújar,SD,batter,,-0.12,-0.30000001192092896,165,255,90,254,,OTHER
buy_low,14,687859,Troy Johnston,COL,batter,,-0.18,-0.38999998569488525,173,259,86,356,,OTHER
buy_low,15,683734,Andrew Vaughn,MIL,batter,,0.94,1.149999976158142,64,149,85,215,1.0,OTHER
buy_low,16,683357,Owen Caissie,MIA,batter,,-0.04,-0.029999999329447746,157,240,83,249,,OTHER
buy_low,17,656555,Rhys Hoskins,CLE,batter,,-0.22,-0.5400000214576721,183,265,82,292,,OTHER
buy_low,18,807799,Masataka Yoshida,BOS,batter,,0.23,0.5299999713897705,122,203,81,255,,OTHER
buy_low,19,677588,José Tena,WSH,batter,,-0.2,-0.3199999928474426,177,256,79,220,,OTHER
buy_low,20,606192,Teoscar Hernández,LAD,batter,,0.23,0.5699999928474426,122,201,79,310,,OTHER
buy_low,21,701398,Sal Stewart,CIN,batter,,1.55,1.659999966621399,33,108,75,482,,OTHER
buy_low,22,805811,Bryce Eldridge,SF,batter,,0.55,0.9800000190734863,94,167,73,287,,OTHER
buy_low,23,670042,Luke Raley,SEA,batter,,-0.15,-0.05999999865889549,170,242,72,287,,OTHER
buy_low,24,592518,Manny Machado,SD,batter,,0.01,0.30000001192092896,147,218,71,467,,OTHER
buy_low,25,669065,Kyle Stowers,MIA,batter,,0.29,0.7400000095367432,113,184,71,374,,OTHER
over_valued,1,670764,Taylor Walls,TB,batter,,-1.03,2.490000009536743,263,58,-205,310,,OTHER
over_valued,2,683083,Nasim Nuñez,WSH,batter,,-0.99,2.2699999809265137,257,67,-190,368,,OTHER
over_valued,3,694497,Evan Carter,TEX,batter,,-0.7,2.1500000953674316,234,75,-159,317,,OTHER
over_valued,4,691026,Masyn Winn,STL,batter,,-0.82,1.809999942779541,246,100,-146,430,,OTHER
over_valued,5,701538,Jackson Merrill,SD,batter,,-0.71,1.6399999856948853,235,110,-125,461,,OTHER
over_valued,6,677587,Brayan Rocchio,CLE,batter,,-0.29,2.240000009536743,194,70,-124,427,,OTHER
over_valued,7,656305,Matt Chapman,SF,batter,,-0.07,2.880000114440918,162,42,-120,352,,OTHER
over_valued,8,663538,Nico Hoerner,CHC,batter,,-0.47,1.8200000524520874,215,98,-117,490,,OTHER
over_valued,9,676609,José Caballero,NYY,batter,,-0.26,2.119999885559082,191,77,-114,348,,OTHER
over_valued,10,702332,Caleb Durbin,BOS,batter,,-0.05,2.700000047683716,159,46,-113,388,,OTHER
over_valued,11,621020,Dansby Swanson,CHC,batter,,-0.08,2.509999990463257,163,54,-109,418,,OTHER
over_valued,12,802139,JJ Wetherholt,STL,batter,,0.33,4.150000095367432,110,10,-100,484,,OTHER
over_valued,13,702284,Cole Young,SEA,batter,,0.31,4.0,111,13,-98,453,,OTHER
over_valued,14,680757,Steven Kwan,CLE,batter,,0.06,2.7799999713897705,140,43,-97,419,,OTHER
over_valued,15,682177,Daniel Schneemann,CLE,batter,,-1.08,0.949999988079071,264,170,-94,276,,OTHER
over_valued,16,605141,Mookie Betts,LAD,batter,,-0.42,1.5299999713897705,212,119,-93,322,,OTHER
over_valued,17,656775,Cedric Mullins,TB,batter,,-0.82,1.0800000429153442,246,156,-90,374,,OTHER
over_valued,18,671976,Tristan Peters,CWS,batter,,0.07,2.609999895095825,138,49,-89,333,,OTHER
over_valued,19,677800,Wilyer Abreu,BOS,batter,,0.37,3.9100000858306885,107,18,-89,473,,OTHER
over_valued,20,672580,Maikel García,KC,batter,,-0.26,1.7300000190734863,191,104,-87,294,,OTHER
over_valued,21,672724,Oswald Peraza,LAA,batter,,-0.33,1.590000033378601,199,115,-84,295,,OTHER
over_valued,22,642715,Willy Adames,SF,batter,,-0.41,1.4800000190734863,210,126,-84,454,,OTHER
over_valued,23,701675,Nathan Church,STL,batter,,-1.01,0.8700000047683716,258,175,-83,308,,OTHER
over_valued,24,683002,Gunnar Henderson,BAL,batter,,-0.52,1.2000000476837158,226,144,-82,506,,OTHER
over_valued,25,666152,David Hamilton,MIL,batter,,-0.51,1.2400000095367432,222,142,-80,261,,OTHER
