board,side_rank,player_id,name,team,position,causal_war,trad_war,rank_causal,rank_trad,rank_diff,ip_total,bf_total,tag
reliever_buy_low,1,685801,Hunter Bigge,TB,pitcher,0.11,-0.84,75,230,155,19.333333333333332,84,RELIEVER LEVERAGE GAP
reliever_buy_low,2,671212,Joe Boyle,TB,pitcher,0.2,-0.2,60,176,116,15.666666666666666,65,RELIEVER LEVERAGE GAP
reliever_buy_low,3,666808,Camilo Doval,NYY,pitcher,-0.1,-0.74,117,228,111,42.666666666666664,186,RELIEVER LEVERAGE GAP
reliever_buy_low,4,676684,Will Vest,DET,pitcher,-0.18,-0.9,134,233,99,26.666666666666668,114,RELIEVER LEVERAGE GAP
reliever_buy_low,5,686580,Justin Slaten,BOS,pitcher,-0.15,-0.64,128,224,96,30.333333333333332,130,RELIEVER LEVERAGE GAP
reliever_buy_low,6,696062,Wilber Dotel,PIT,pitcher,0.21,-0.07,56,151,95,26.666666666666668,114,RELIEVER LEVERAGE GAP
reliever_buy_low,7,695380,Alex Hoppe,SEA,pitcher,0.0,-0.22999999999999998,89,180,91,28.666666666666668,126,RELIEVER LEVERAGE GAP
reliever_buy_low,8,668881,Hunter Greene,CIN,pitcher,-0.06,-0.36,104,191,87,27.666666666666668,120,RELIEVER LEVERAGE GAP
reliever_buy_low,9,664126,Pete Fairbanks,MIA,pitcher,-0.27,-1.08,151,237,86,36.333333333333336,158,RELIEVER LEVERAGE GAP
reliever_buy_low,10,683000,Riley Cornelio,WSH,pitcher,-0.1,-0.45,117,202,85,20.0,95,RELIEVER LEVERAGE GAP
reliever_buy_low,11,543056,Danny Coulombe,BOS,pitcher,0.14,-0.07,70,151,81,22.0,96,RELIEVER LEVERAGE GAP
reliever_buy_low,12,686560,Gavin Collyer,TEX,pitcher,0.07,-0.11,79,160,81,23.0,104,RELIEVER LEVERAGE GAP
reliever_buy_low,13,689296,Anthony Nunez,BAL,pitcher,0.02,-0.14,85,164,79,45.0,191,RELIEVER LEVERAGE GAP
