player_id,name,position,projected_war,marcel_war,statcast_adjustment,tj_adjustment,role_change_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip
592450,Aaron Judge,batter,6.214,5.802,0.412,0.0,0.0,32.0,21.21,1829.0
663586,Austin Riley,batter,5.529,5.529,0.0,0.0,0.0,27.0,18.76,2171.0
665742,Juan Soto,batter,5.462,5.462,0.0,0.0,0.0,25.0,18.09,2078.0
543760,Marcus Semien,batter,5.436,5.876,-0.44,0.0,0.0,33.0,20.53,2283.0
665487,Fernando Tatís,batter,5.354,5.041,0.313,0.0,0.0,25.0,11.84,1181.0
605141,Mookie Betts,batter,5.346,5.744,-0.398,0.0,0.0,31.0,19.35,1965.0
518692,Freddie Freeman,batter,5.009,5.009,0.0,0.0,0.0,34.0,17.77,2232.0
645261,Sandy Alcántara,pitcher,4.933,4.933,0.0,0.0,0.0,28.0,16.07,617.6
543037,Gerrit Cole,pitcher,4.919,4.919,0.0,0.0,0.0,33.0,15.68,611.1
660670,Ronald Acuña,batter,4.895,4.554,0.341,0.0,0.0,26.0,14.2,1662.0
677594,Julio Rodríguez,batter,4.876,5.336,-0.46,0.0,0.0,23.0,11.75,1302.0
621566,Matt Olson,batter,4.853,4.853,0.0,0.0,0.0,30.0,16.77,2126.0
663656,Kyle Tucker,batter,4.792,4.792,0.0,0.0,0.0,27.0,16.25,2021.0
554430,Zack Wheeler,pitcher,4.682,4.682,0.0,0.0,0.0,34.0,16.49,620.5
670541,Yordan Álvarez,batter,4.541,4.278,0.262,0.0,0.0,27.0,14.45,1834.0
657277,Logan Webb,pitcher,4.497,4.497,0.0,0.0,0.0,27.0,14.02,571.1
608369,Corey Seager,batter,4.484,4.204,0.28,0.0,0.0,30.0,14.41,1743.0
608070,José Ramírez,batter,4.442,4.755,-0.313,0.0,0.0,31.0,17.43,2044.0
691587,Eury Pérez,pitcher,4.297,4.297,0.0,0.0,0.0,21.0,2.72,91.1
596019,Francisco Lindor,batter,4.266,4.266,0.0,0.0,0.0,30.0,14.57,1929.0
660271,Shohei Ohtani,pitcher,4.202,4.202,0.0,0.0,0.0,29.0,14.12,428.1
668939,Adley Rutschman,batter,4.169,4.169,0.0,0.0,0.0,26.0,9.75,1170.0
660271,Shohei Ohtani,batter,4.129,4.129,0.0,0.0,0.0,29.0,14.4,1904.0
666182,Bo Bichette,batter,3.975,4.23,-0.255,0.0,0.0,26.0,14.33,2005.0
502671,Paul Goldschmidt,batter,3.959,4.383,-0.424,0.0,0.0,36.0,16.88,2030.0
