team_id,season,dpi_mean,dpi_total,dpi_std,consistency,extra_base_prevention,n_games,rp_proxy,sum_delta_run_exp_on_def,n_def_games,n_bip_on_def,babip_against,n_bip
ATH,2023,0.03,4.824,1.855,0.3503,0.601,161,-170.1699999931734,170.1699999931734,161,4263.0,0.30765432098765433,4263
ATL,2023,0.303,50.01,1.631,0.3802,0.667,165,22.74000241374597,-22.74000241374597,165,4077.0,0.30188192833204436,4077
AZ,2023,0.417,73.478,1.919,0.3426,0.599,176,-10.286999492556788,10.286999492556788,176,4521.0,0.2928471899674872,4521
BAL,2023,0.599,98.275,1.837,0.3525,0.641,164,60.25500044925138,-60.25500044925138,164,4180.0,0.29289644822411204,4180
BOS,2023,-0.137,-22.034,1.814,0.3554,0.613,161,-35.04999940015841,35.04999940015841,161,4129.0,0.3046138159571756,4129
CHC,2023,0.596,95.914,1.88,0.3473,0.658,161,33.46400046302006,-33.46400046302006,161,4113.0,0.2910523640061007,4113
CIN,2023,-0.028,-4.462,1.97,0.3367,0.6,161,-107.78000069560949,107.78000069560949,161,4211.0,0.3005012531328321,4211
CLE,2023,0.493,78.872,1.766,0.3616,0.644,160,33.95700040622614,-33.95700040622614,160,4197.0,0.2896894409937888,4197
COL,2023,-0.211,-33.828,2.02,0.3311,0.634,160,-238.7769983158214,238.7769983158214,160,4464.0,0.3198581560283688,4464
CWS,2023,0.097,15.452,1.881,0.3471,0.635,160,-76.95499890146311,76.95499890146311,160,4046.0,0.2996870109546166,4046
DET,2023,0.566,91.068,2.188,0.3137,0.652,161,33.40499964612536,-33.40499964612536,161,4144.0,0.2851730234907805,4144
HOU,2023,0.397,67.939,1.848,0.3511,0.616,171,-3.309998469776474,3.309998469776474,171,4247.0,0.2870623292773777,4247
KC,2023,0.291,46.801,1.706,0.3695,0.631,161,-72.46900008060038,72.46900008060038,161,4208.0,0.3026743314171457,4208
LAA,2023,0.125,20.2,2.093,0.3233,0.643,161,-75.93099931546021,75.93099931546021,161,4114.0,0.3019206145966709,4114
LAD,2023,0.494,80.588,2.06,0.3268,0.613,163,51.222000360372476,-51.222000360372476,163,4129.0,0.2790104565161948,4129
MIA,2023,0.195,31.616,1.756,0.3629,0.619,162,16.47200125583913,-16.47200125583913,162,4007.0,0.30249017038007864,4007
MIL,2023,0.773,126.015,1.725,0.367,0.639,163,96.24599991890136,-96.24599991890136,163,4026.0,0.2680439330543933,4026
