team_id,season,dpi_mean,dpi_total,dpi_std,consistency,extra_base_prevention,n_games,rp_proxy,sum_delta_run_exp_on_def,n_def_games,n_bip_on_def,babip_against,n_bip,team_oaa,team_frp,n_players
ATH,2025,0.379,63.286,1.993,0.3342,0.619,167,-90.03699678659905,90.03699678659905,167,4389.0,0.29017535431179436,4389,-13,-12,21
ATL,2025,0.727,122.208,1.798,0.3574,0.668,168,-6.357997113373131,6.357997113373131,168,4241.0,0.2947290274684484,4241,7,4,16
AZ,2025,0.752,127.069,1.877,0.3476,0.618,169,-45.11399838048965,45.11399838048965,169,4513.0,0.2941039925719591,4513,15,12,15
BAL,2025,0.33,54.742,2.017,0.3315,0.673,166,-80.87899697595276,80.87899697595276,166,4337.0,0.3025516403402187,4337,-32,-24,21
BOS,2025,0.533,90.093,1.807,0.3563,0.712,169,38.37400215025991,-38.37400215025991,169,4357.0,0.29632282712511937,4357,5,12,17
CHC,2025,0.981,169.662,1.854,0.3504,0.66,173,45.465002751443535,-45.465002751443535,173,4487.0,0.2731535756154748,4487,40,33,14
CIN,2025,0.752,127.037,2.036,0.3294,0.612,169,-0.5489993643714115,0.5489993643714115,169,4280.0,0.2780499755022048,4280,-9,-8,20
CLE,2025,0.539,91.657,1.913,0.3433,0.669,170,26.949001339264214,-26.949001339264214,170,4292.0,0.28668610301263364,4292,-9,-6,17
COL,2025,-0.061,-10.249,2.079,0.3247,0.632,169,-305.24599805125035,305.24599805125035,169,4810.0,0.3242470872719279,4810,-28,-28,23
CWS,2025,0.618,103.797,1.838,0.3524,0.629,168,-80.51099841587711,80.51099841587711,168,4314.0,0.28880252611124607,4314,-24,-21,22
DET,2025,0.695,122.398,1.779,0.3598,0.657,176,27.407000453327782,-27.407000453327782,176,4440.0,0.2836243511090137,4440,-1,-1,19
HOU,2025,0.556,92.254,1.644,0.3783,0.628,166,26.37800155149307,-26.37800155149307,166,4053.0,0.2804466372370813,4053,28,24,22
KC,2025,0.712,119.618,1.647,0.3777,0.645,168,22.56800049962476,-22.56800049962476,168,4369.0,0.2842809364548495,4370,28,20,20
LAA,2025,0.258,43.332,2.066,0.3261,0.644,168,-108.31099852966145,108.31099852966145,168,4449.0,0.2948141131896756,4449,-53,-44,25
LAD,2025,0.763,137.259,1.72,0.3677,0.646,180,89.4840031316271,-89.4840031316271,180,4406.0,0.28398576512455515,4406,14,9,16
MIA,2025,0.845,141.88,1.805,0.3565,0.629,168,-29.77199842664413,29.77199842664413,168,4461.0,0.2867889045604137,4461,8,6,20
MIL,2025,0.737,129.678,1.742,0.3647,0.657,176,55.042002605390735,-55.042002605390735,176,4343.0,0.2802793161569949,4343,27,20,17
MIN,2025,0.334,56.067,1.887,0.3464,0.667,168,-20.63699887599796,20.63699887599796,168,4347.0,0.30257769212238017,4347,-16,-12,18
NYM,2025,0.58,96.94,1.604,0.384,0.679,167,23.066001048660837,-23.066001048660837,167,4230.0,0.29892103972535555,4230,-17,-15,15
NYY,2025,0.718,125.57,1.729,0.3665,0.648,175,40.94900124426931,-40.94900124426931,175,4355.0,0.2799807738524393,4355,-13,-10,15
PHI,2025,0.45,77.416,1.666,0.3751,0.673,172,68.32900102878921,-68.32900102878921,172,4323.0,0.29794437726723094,4323,8,4,15
PIT,2025,0.83,137.822,1.829,0.3535,0.641,166,74.55500115675386,-74.55500115675386,166,4207.0,0.27986179664363275,4207,2,-2,21
SD,2025,0.641,109.566,1.827,0.3537,0.682,171,79.1360030171927,-79.1360030171927,171,4161.0,0.27240684793554887,4161,-5,-4,16
SEA,2025,0.721,129.108,1.884,0.3468,0.647,179,37.915003411471844,-37.915003411471844,179,4657.0,0.28568212516884284,4657,-21,-17,18
SF,2025,0.401,66.498,1.917,0.3428,0.658,166,23.651001060730778,-23.651001060730778,166,4265.0,0.3014330823415108,4265,-20,-20,18
STL,2025,0.67,111.19,2.045,0.3284,0.679,166,-4.798998876940459,4.798998876940459,166,4498.0,0.298728323699422,4498,34,25,20
TB,2025,0.612,102.17,1.899,0.3449,0.665,167,24.140001170686446,-24.140001170686446,167,4127.0,0.2822868810617662,4127,-34,-28,22
TEX,2025,1.062,178.456,1.573,0.3886,0.673,168,110.77200133772567,-110.77200133772567,168,4240.0,0.27523387493845397,4241,23,21,21
TOR,2025,0.706,129.899,1.842,0.3519,0.632,184,2.752000729320571,-2.752000729320571,184,4621.0,0.28186386477843767,4621,16,17,18
WSH,2025,0.467,77.924,1.889,0.3462,0.659,167,-141.2139982447261,141.2139982447261,167,4524.0,0.3084958217270195,4524,-22,-13,14
