team_id,season,dpi_mean,dpi_total,dpi_std,consistency,extra_base_prevention,n_games,rp_proxy,sum_delta_run_exp_on_def,n_def_games,n_bip_on_def,babip_against,n_bip,team_oaa,team_frp,n_players
ATH,2023,0.031,4.983,1.853,0.3505,0.601,161,-170.1699999931734,170.1699999931734,161,4263.0,0.30765432098765433,4263,-25,-18,20
ATL,2023,0.319,52.582,1.623,0.3812,0.667,165,22.74000241374597,-22.74000241374597,165,4077.0,0.30188192833204436,4077,-17,-11,16
AZ,2023,0.486,85.462,1.916,0.343,0.599,176,-10.286999492556788,10.286999492556788,176,4521.0,0.2928471899674872,4521,35,26,16
BAL,2023,0.622,101.97,1.845,0.3515,0.641,164,60.25500044925138,-60.25500044925138,164,4180.0,0.29289644822411204,4180,-10,-7,18
BOS,2023,-0.14,-22.614,1.811,0.3557,0.613,161,-35.04999940015841,35.04999940015841,161,4129.0,0.3046138159571756,4129,-33,-29,19
CHC,2023,0.588,94.648,1.882,0.3469,0.658,161,33.46400046302006,-33.46400046302006,161,4113.0,0.2910523640061007,4113,20,15,19
CIN,2023,0.0,0.036,1.975,0.3361,0.6,161,-107.78000069560949,107.78000069560949,161,4211.0,0.3005012531328321,4211,-35,-30,24
CLE,2023,0.457,73.122,1.757,0.3627,0.644,160,33.95700040622614,-33.95700040622614,160,4197.0,0.2896894409937888,4197,28,23,13
COL,2023,-0.196,-31.326,2.039,0.3291,0.634,160,-238.7769983158214,238.7769983158214,160,4464.0,0.3198581560283688,4464,12,10,18
CWS,2023,0.09,14.433,1.899,0.3449,0.635,160,-76.95499890146311,76.95499890146311,160,4046.0,0.2996870109546166,4046,-18,-12,20
DET,2023,0.566,91.052,2.188,0.3137,0.652,161,33.40499964612536,-33.40499964612536,161,4144.0,0.2851730234907805,4144,-15,-12,18
HOU,2023,0.449,76.723,1.858,0.3499,0.616,171,-3.309998469776474,3.309998469776474,171,4247.0,0.2870623292773777,4247,5,1,15
KC,2023,0.323,51.956,1.702,0.3701,0.631,161,-72.46900008060038,72.46900008060038,161,4208.0,0.3026743314171457,4208,21,20,20
LAA,2023,0.14,22.484,2.089,0.3238,0.643,161,-75.93099931546021,75.93099931546021,161,4114.0,0.3019206145966709,4114,-10,-7,24
LAD,2023,0.5,81.463,2.072,0.3256,0.613,163,51.222000360372476,-51.222000360372476,163,4129.0,0.2790104565161948,4129,-3,-3,15
MIA,2023,0.261,42.283,1.769,0.3612,0.619,162,16.47200125583913,-16.47200125583913,162,4007.0,0.30249017038007864,4007,-28,-25,16
MIL,2023,0.743,121.13,1.719,0.3678,0.639,163,96.24599991890136,-96.24599991890136,163,4026.0,0.2680439330543933,4026,41,34,19
MIN,2023,0.132,21.966,1.703,0.3699,0.639,167,96.91400069789961,-96.91400069789961,167,4095.0,0.29272680544847085,4095,-14,-12,19
NYM,2023,0.126,20.168,1.625,0.3809,0.676,160,-15.320001419866458,15.320001419866458,160,3991.0,0.29679284963196634,3991,-11,-10,17
NYY,2023,0.482,77.66,1.691,0.3716,0.628,161,51.52199918858241,-51.52199918858241,161,4026.0,0.28008352910467244,4026,-4,-4,17
PHI,2023,0.254,44.177,1.816,0.3551,0.646,174,89.23400023637805,-89.23400023637805,174,4381.0,0.2883054892601432,4381,9,6,17
PIT,2023,0.453,72.874,1.699,0.3705,0.63,161,-27.65899920312222,27.65899920312222,161,4175.0,0.29897423067300477,4175,3,0,21
SD,2023,0.47,75.128,1.662,0.3756,0.668,160,85.47300015820656,-85.47300015820656,160,3947.0,0.28435266084193805,3947,30,22,19
SEA,2023,0.436,69.792,1.779,0.3598,0.652,160,95.76500097708777,-95.76500097708777,160,4011.0,0.287170107133525,4011,18,12,14
SF,2023,0.235,37.897,1.91,0.3437,0.65,161,38.22000139427837,-38.22000139427837,161,4183.0,0.30309072781655033,4183,12,10,25
STL,2023,0.131,21.158,1.782,0.3594,0.625,161,-92.04299842542969,92.04299842542969,161,4428.0,0.31795716639209226,4428,-13,-11,19
TB,2023,0.531,86.499,1.931,0.3412,0.625,163,99.9039998059161,-99.9039998059161,163,4012.0,0.28567701539264284,4012,-6,-7,17
TEX,2023,0.503,89.077,1.86,0.3496,0.67,177,57.66300135082565,-57.66300135082565,177,4541.0,0.28782628782628783,4542,33,27,16
TOR,2023,0.347,56.559,1.73,0.3663,0.64,163,72.05200093821622,-72.05200093821622,163,4024.0,0.2940407736539467,4024,7,8,17
WSH,2023,0.335,53.979,1.908,0.3439,0.653,161,-128.5509969436098,128.5509969436098,161,4368.0,0.30439000727625515,4368,-9,-8,18
ATH,2024,0.143,24.065,1.918,0.3427,0.637,168,-36.353997603291646,36.353997603291646,168,4421.0,0.295004712535344,4421,-46,-40,21
ATL,2024,0.376,63.939,1.839,0.3523,0.674,170,86.87299934215844,-86.87299934215844,170,4107.0,0.30058242593061535,4107,-3,-2,19
AZ,2024,0.491,82.989,1.856,0.3502,0.625,169,-62.42499896627851,62.42499896627851,169,4518.0,0.30945227640397505,4518,40,32,15
BAL,2024,0.522,88.191,1.785,0.3591,0.646,169,39.24800130072981,-39.24800130072981,169,4337.0,0.28478731074260993,4337,-6,-4,18
BOS,2024,0.291,49.114,1.817,0.3549,0.671,169,10.322000631131232,-10.322000631131232,169,4423.0,0.2873019626389217,4423,-20,-11,18
CHC,2024,0.425,72.299,1.805,0.3565,0.682,170,21.923999555408955,-21.923999555408955,170,4352.0,0.2870526062935383,4354,18,17,17
CIN,2024,0.216,36.359,1.619,0.3819,0.633,168,-34.6199998750817,34.6199998750817,168,4258.0,0.2843040473840079,4258,-10,-7,21
CLE,2024,0.551,97.517,1.631,0.3801,0.6,177,34.738000753102824,-34.738000753102824,177,4310.0,0.27716994894237784,4310,16,10,16
COL,2024,0.215,36.381,1.998,0.3336,0.667,169,-219.2319989921525,219.2319989921525,169,4759.0,0.317428760768721,4759,8,3,18
CWS,2024,-0.013,-2.181,2.015,0.3317,0.631,168,-128.47700049588457,128.47700049588457,168,4317.0,0.2990995376003894,4317,-30,-23,24
DET,2024,0.619,108.921,1.867,0.3488,0.672,176,92.20300080766901,-92.20300080766901,176,4477.0,0.27904275092936803,4477,21,19,18
HOU,2024,0.323,53.574,1.914,0.3432,0.658,166,43.90300116757862,-43.90300116757862,166,4046.0,0.2824961160020715,4046,-1,0,21
KC,2024,0.677,117.1,1.696,0.3709,0.66,173,55.95200082403608,-55.95200082403608,173,4399.0,0.29163722025912836,4399,29,23,17
LAA,2024,0.463,78.274,1.726,0.3669,0.638,169,-75.07400035625324,75.07400035625324,169,4367.0,0.28221153846153846,4367,-38,-28,26
LAD,2024,0.731,132.379,1.788,0.3587,0.638,181,10.041999720968306,-10.041999720968306,181,4591.0,0.2746623941405356,4591,-3,0,12
MIA,2024,0.218,35.999,1.761,0.3621,0.632,165,-121.22299923328683,121.22299923328683,165,4383.0,0.30076445293836596,4383,-17,-17,18
MIL,2024,0.622,106.906,1.744,0.3644,0.68,172,34.122999931452796,-34.122999931452796,172,4383.0,0.2783628530397319,4383,29,23,20
MIN,2024,0.186,31.316,1.658,0.3762,0.652,168,8.20099984924309,-8.20099984924309,168,4231.0,0.29511044924298835,4231,1,1,19
NYM,2024,0.58,105.495,1.727,0.3666,0.663,182,6.62499992409721,-6.62499992409721,182,4453.0,0.28064819163926724,4453,7,5,14
NYY,2024,0.465,85.105,1.831,0.3532,0.629,183,25.55599979381077,-25.55599979381077,183,4583.0,0.2804015514487794,4583,12,5,15
PHI,2024,0.347,59.694,1.827,0.3537,0.661,172,12.119999401038513,-12.119999401038513,172,4366.0,0.29544364508393284,4366,8,3,15
PIT,2024,0.294,49.176,1.813,0.3555,0.644,167,-40.5909986149054,40.5909986149054,167,4315.0,0.29840656687590533,4315,-13,-13,19
SD,2024,0.372,63.693,1.836,0.3526,0.655,171,58.96699979505502,-58.96699979505502,171,4251.0,0.2899975423937085,4251,9,5,19
SEA,2024,0.663,112.099,1.744,0.3644,0.624,169,129.54800105420873,-129.54800105420873,169,4132.0,0.2614876872302615,4132,-10,-6,19
SF,2024,0.222,37.546,1.685,0.3724,0.678,169,9.701999288750812,-9.701999288750812,169,4214.0,0.30482996550024644,4214,-10,-11,18
STL,2024,0.56,94.061,1.892,0.3457,0.644,168,3.818000800907612,-3.818000800907612,168,4394.0,0.2939501779359431,4394,16,12,16
TB,2024,0.553,92.879,1.762,0.362,0.676,168,51.757001406280324,-51.757001406280324,168,4235.0,0.27901785714285715,4235,19,17,17
TEX,2024,0.698,117.325,1.785,0.359,0.657,168,-12.980998338665813,12.980998338665813,168,4275.0,0.2860653723273532,4275,24,16,18
TOR,2024,0.626,105.736,2.041,0.3288,0.633,169,-30.836000607116148,30.836000607116148,169,4315.0,0.2810441571114906,4315,8,8,18
WSH,2024,0.313,52.338,1.763,0.362,0.679,167,-45.490999061847106,45.490999061847106,167,4417.0,0.3088339222614841,4417,-1,1,17
ATH,2025,0.379,63.286,1.993,0.3342,0.619,167,-90.03699678659905,90.03699678659905,167,4389.0,0.29017535431179436,4389,-13,-12,21
ATL,2025,0.727,122.208,1.798,0.3574,0.668,168,-6.357997113373131,6.357997113373131,168,4241.0,0.2947290274684484,4241,7,4,16
AZ,2025,0.752,127.069,1.877,0.3476,0.618,169,-45.11399838048965,45.11399838048965,169,4513.0,0.2941039925719591,4513,15,12,15
BAL,2025,0.33,54.742,2.017,0.3315,0.673,166,-80.87899697595276,80.87899697595276,166,4337.0,0.3025516403402187,4337,-32,-24,21
BOS,2025,0.533,90.093,1.807,0.3563,0.712,169,38.37400215025991,-38.37400215025991,169,4357.0,0.29632282712511937,4357,5,12,17
CHC,2025,0.981,169.662,1.854,0.3504,0.66,173,45.465002751443535,-45.465002751443535,173,4487.0,0.2731535756154748,4487,40,33,14
CIN,2025,0.752,127.037,2.036,0.3294,0.612,169,-0.5489993643714115,0.5489993643714115,169,4280.0,0.2780499755022048,4280,-9,-8,20
CLE,2025,0.539,91.657,1.913,0.3433,0.669,170,26.949001339264214,-26.949001339264214,170,4292.0,0.28668610301263364,4292,-9,-6,17
COL,2025,-0.061,-10.249,2.079,0.3247,0.632,169,-305.24599805125035,305.24599805125035,169,4810.0,0.3242470872719279,4810,-28,-28,23
CWS,2025,0.618,103.797,1.838,0.3524,0.629,168,-80.51099841587711,80.51099841587711,168,4314.0,0.28880252611124607,4314,-24,-21,22
DET,2025,0.695,122.398,1.779,0.3598,0.657,176,27.407000453327782,-27.407000453327782,176,4440.0,0.2836243511090137,4440,-1,-1,19
HOU,2025,0.556,92.254,1.644,0.3783,0.628,166,26.37800155149307,-26.37800155149307,166,4053.0,0.2804466372370813,4053,28,24,22
KC,2025,0.712,119.618,1.647,0.3777,0.645,168,22.56800049962476,-22.56800049962476,168,4369.0,0.2842809364548495,4370,28,20,20
LAA,2025,0.258,43.332,2.066,0.3261,0.644,168,-108.31099852966145,108.31099852966145,168,4449.0,0.2948141131896756,4449,-53,-44,25
LAD,2025,0.763,137.259,1.72,0.3677,0.646,180,89.4840031316271,-89.4840031316271,180,4406.0,0.28398576512455515,4406,14,9,16
MIA,2025,0.845,141.88,1.805,0.3565,0.629,168,-29.77199842664413,29.77199842664413,168,4461.0,0.2867889045604137,4461,8,6,20
MIL,2025,0.737,129.678,1.742,0.3647,0.657,176,55.042002605390735,-55.042002605390735,176,4343.0,0.2802793161569949,4343,27,20,17
MIN,2025,0.334,56.067,1.887,0.3464,0.667,168,-20.63699887599796,20.63699887599796,168,4347.0,0.30257769212238017,4347,-16,-12,18
NYM,2025,0.58,96.94,1.604,0.384,0.679,167,23.066001048660837,-23.066001048660837,167,4230.0,0.29892103972535555,4230,-17,-15,15
