player_id,name,position,projected_war,marcel_war,statcast_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,abs_adj
660730,Elvin Rodríguez,pitcher,0.816,0.316,0.5,26.0,-1.21,32.3,0.5
665839,Enmanuel Valdez,batter,0.792,1.292,-0.5,25.0,0.0,149.0,0.5
663362,Matt Waldron,pitcher,0.786,0.286,0.5,27.0,0.22,41.1,0.5
593934,Miguel Sanó,batter,0.784,0.284,0.5,31.0,0.08,603.0,0.5
660707,Elehuris Montero,batter,0.767,1.267,-0.5,25.0,0.0,492.0,0.5
647336,Michael Soroka,pitcher,0.871,0.371,0.5,26.0,-0.49,32.1,0.5
643290,Justin Dunn,pitcher,0.86,0.36,0.5,28.0,0.87,81.1,0.5
663465,Kolby Allard,pitcher,0.744,0.244,0.5,26.0,-1.44,157.3,0.5
489334,Craig Stammen,pitcher,-1.913,-2.413,0.5,40.0,1.41,128.3,0.5
606930,Jacob Barnes,pitcher,-2.107,-1.607,-0.5,34.0,-0.86,63.5,0.5
596271,Casey Lawrence,pitcher,-2.168,-2.668,0.5,36.0,-0.85,45.1,0.5
518586,Charlie Culberson,batter,-2.192,-1.692,-0.5,35.0,1.06,396.0,0.5
488771,Jason Castro,batter,-2.222,-2.722,0.5,37.0,0.43,276.0,0.5
593428,Xander Bogaerts,batter,4.04,4.54,-0.5,31.0,15.01,1950.0,0.5
592518,Manny Machado,batter,3.778,4.278,-0.5,31.0,14.47,1937.0,0.5
641871,Keynan Middleton,pitcher,0.728,0.228,0.5,30.0,0.35,98.2,0.5
666181,Will Benson,batter,0.727,1.227,-0.5,26.0,1.33,391.0,0.5
614179,José Ruiz,pitcher,0.717,0.217,0.5,29.0,0.87,170.4,0.5
687330,Kevin Kelly,pitcher,0.702,1.202,-0.5,26.0,0.73,67.0,0.5
609275,Adalberto Mondesí,batter,0.693,0.193,0.5,28.0,0.12,190.0,0.5
666176,Jo Adell,batter,0.677,1.177,-0.5,25.0,-0.12,487.0,0.5
625643,Reynaldo López,pitcher,0.932,1.432,-0.5,30.0,4.45,190.3,0.5
669003,Garrett Mitchell,batter,0.91,1.41,-0.5,25.0,1.57,141.0,0.5
543056,Danny Coulombe,pitcher,-1.445,-0.945,-0.5,34.0,1.67,98.3,0.5
519008,T. J. McFarland,pitcher,-1.477,-1.977,0.5,35.0,0.02,72.5,0.5
605154,John Brebbia,pitcher,-1.524,-1.024,-0.5,34.0,1.39,124.2,0.5
621295,Nick Wittgren,pitcher,-1.557,-1.057,-0.5,33.0,-0.57,120.1,0.5
501571,Juan Lagares,batter,-1.574,-2.074,0.5,35.0,-1.31,389.0,0.5
594838,Philip Gosselin,batter,-1.589,-2.089,0.5,35.0,-1.33,450.0,0.5
598286,Nick Ramirez,pitcher,-1.614,-1.114,-0.5,34.0,0.57,60.3,0.5
598264,Matt Barnes,pitcher,-1.655,-1.155,-0.5,34.0,1.32,115.5,0.5
680574,Matt McLain,batter,3.715,4.215,-0.5,24.0,3.57,403.0,0.5
621111,Walker Buehler,pitcher,3.502,3.002,0.5,29.0,7.47,291.0,0.5
605361,Nick Martini,batter,-1.852,-1.352,-0.5,34.0,-0.12,124.0,0.5
501985,Mike Minor,pitcher,-1.853,-2.353,0.5,36.0,0.23,256.2,0.5
545350,Jake Marisnick,batter,-1.191,-0.691,-0.5,33.0,0.71,363.0,0.5
458681,Lance Lynn,pitcher,-1.246,-1.746,0.5,37.0,5.29,467.5,0.5
642851,Austin Wynns,batter,-1.337,-0.837,-0.5,33.0,-0.25,461.0,0.5
578428,Jose Iglesias,batter,-1.338,-0.838,-0.5,34.0,0.42,978.0,0.5
643361,Kevin Herget,pitcher,-1.407,-0.907,-0.5,33.0,0.04,31.1,0.5
