player_id,name,position,projected_war,marcel_war,statcast_adjustment,tj_adjustment,role_change_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,abs_adj
572761,Matt Carpenter,batter,-3.035,-2.535,-0.5,0.0,0.0,38.0,0.89,652.0,0.5
459429,Jake McGee,pitcher,-3.515,-3.015,-0.5,0.0,0.0,37.0,-0.1,99.1,0.5
475479,David Phelps,pitcher,-2.815,-2.315,-0.5,0.0,0.0,37.0,1.56,73.3,0.5
679032,Johan Rojas,batter,1.09,1.59,-0.5,0.0,0.0,23.0,2.37,209.0,0.5
456713,Matt Bush,pitcher,-2.68,-3.18,0.5,0.0,0.0,38.0,-0.91,73.3,0.5
661269,Vladimir Gutiérrez,pitcher,0.749,0.249,0.5,0.0,0.0,28.0,1.17,150.2,0.5
641355,Cody Bellinger,batter,1.181,1.681,-0.5,0.0,0.0,28.0,4.49,1502.0,0.5
592273,Brandon Drury,batter,0.74,1.24,-0.5,0.0,0.0,31.0,4.87,1210.0,0.5
670770,TJ Friedl,batter,0.721,1.221,-0.5,0.0,0.0,28.0,4.0,850.0,0.5
592716,Adrian Sampson,pitcher,0.714,1.214,-0.5,0.0,0.0,32.0,3.05,139.2,0.5
669707,Jared Triolo,batter,0.687,1.187,-0.5,0.0,0.0,26.0,2.03,209.0,0.5
672582,Angel Zerpa,pitcher,0.681,0.481,0.5,0.0,-0.3,24.0,0.76,58.2,0.5
677592,Everson Pereira,batter,0.678,0.178,0.5,0.0,0.0,23.0,-0.61,103.0,0.5
686527,Dominic Canzone,batter,0.669,0.169,0.5,0.0,0.0,26.0,-0.11,182.0,0.5
643290,Justin Dunn,pitcher,0.64,0.14,0.5,0.0,0.0,28.0,0.87,81.1,0.5
663362,Matt Waldron,pitcher,0.625,0.125,0.5,0.0,0.0,27.0,0.22,41.1,0.5
544725,Leury García,batter,0.624,0.124,0.5,0.0,0.0,33.0,1.15,805.0,0.5
668904,Royce Lewis,batter,0.612,1.112,-0.5,0.0,0.0,25.0,2.72,306.0,0.5
621111,Walker Buehler,pitcher,3.262,2.762,0.5,0.0,0.0,29.0,7.47,291.0,0.5
622251,Josh Staumont,pitcher,-0.66,-0.16,-0.5,0.0,0.0,30.0,0.78,122.4,0.5
643361,Kevin Herget,pitcher,-0.679,-0.179,-0.5,0.0,0.0,33.0,0.04,31.1,0.5
545350,Jake Marisnick,batter,-0.696,-0.196,-0.5,0.0,0.0,33.0,0.71,363.0,0.5
656793,Nick Nelson,pitcher,-0.709,-0.209,-0.5,0.0,0.0,28.0,-0.56,88.4,0.5
666818,Luis Frías,pitcher,-0.711,-0.211,-0.5,0.0,0.0,26.0,-0.65,57.3,0.5
621249,Duane Underwood,pitcher,-0.738,-0.238,-0.5,0.0,0.0,29.0,-0.25,153.4,0.5
656185,Greg Allen,batter,-0.779,-0.279,-0.5,0.0,0.0,31.0,0.55,210.0,0.5
669912,Kirby Snead,pitcher,-0.799,-0.299,-0.5,0.0,0.0,29.0,-0.54,62.6,0.5
621295,Nick Wittgren,pitcher,-0.829,-0.329,-0.5,0.0,0.0,33.0,-0.57,120.1,0.5
664731,P. J. Higgins,batter,-0.831,-0.331,-0.5,0.0,0.0,31.0,-0.53,254.0,0.5
593428,Xander Bogaerts,batter,3.576,4.076,-0.5,0.0,0.0,31.0,15.01,1950.0,0.5
642851,Austin Wynns,batter,-0.842,-0.342,-0.5,0.0,0.0,33.0,-0.25,461.0,0.5
656354,Austin Davis,pitcher,-0.845,-0.345,-0.5,0.0,0.0,31.0,-0.74,82.2,0.5
668674,Lucas Erceg,pitcher,-0.583,-0.083,-0.5,0.0,0.0,29.0,-0.02,55.0,0.5
607237,Amir Garrett,pitcher,-0.603,-0.103,-0.5,0.0,0.0,32.0,0.01,116.4,0.5
621545,Zach Remillard,batter,-0.605,-0.105,-0.5,0.0,0.0,30.0,0.09,160.0,0.5
593643,Hanser Alberto,batter,-0.607,-0.107,-0.5,0.0,0.0,31.0,0.9,504.0,0.5
596117,Garrett Stubbs,batter,-0.62,-0.12,-0.5,0.0,0.0,31.0,1.01,284.0,0.5
670712,Mike Brosseau,batter,-0.622,-0.122,-0.5,0.0,0.0,30.0,1.1,407.0,0.5
664029,Mark Mathias,batter,-0.631,-0.131,-0.5,0.0,0.0,29.0,0.59,163.0,0.5
676946,Matthew Batten,batter,-0.654,-0.154,-0.5,0.0,0.0,29.0,0.23,161.0,0.5
